ind,key,docs,classification,class,category_map,real_cat,label,scores,real_final,pred_final
409,ServerSocket_setReceiveBufferSize,"set receive buffer size .this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",sink,ServerSocket,no category,network connection,network connection,0.4298139214515686,network,network
413,ClassLoader_getSystemResourceAsStream,"get system resource as stream .a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,system settings,file information,0.3648183345794678,system settings,files
419,DownloadManager_openDownloadedFile,"open downloaded file .the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",sink,DownloadManager,files,files,file information,0.2027590125799179,files,files
423,DatagramSocket_getPort,get port .this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network information,0.3077737092971802,network,network
426,URLConnection_getContentEncoding,"get content encoding .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media information,0.13322153687477112,network,media
431,LocationManager_getBestProvider,"get best provider .this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",source,LocationManager,geolocation,geolocation,geographical location,0.2731717824935913,geolocation,geolocation
432,AccountManager_addAccount,"add account .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user account,0.3318179249763489,user account,user account
433,NfcA_transceive,transceive .provides access to nfc a  properties and input or output operations on a tag,source,NfcA,nfc information,nfc information,nfc information,0.26839369535446167,nfc,nfc
437,NfcF_getTimeout,get timeout .provides access to nfc f  properties and input or output operations on a tag,source,NfcF,nfc information,nfc information,nfc information,0.412209689617157,nfc,nfc
442,AudioTrack_setLoopPoints,"set loop points .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",sink,AudioTrack,audio,audio,audio information,0.5607755780220032,audio,audio
443,LocationManager_getProviders,"get providers .this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",source,LocationManager,geolocation,geolocation,geographical location,0.26849496364593506,geolocation,geolocation
444,AudioManager_getStreamMaxVolume,get stream max volume .audio manager provides access to volume and ringer mode control,source,AudioManager,no category,audio,audio information,0.6534306406974792,audio,audio
446,AudioTrack_getMinVolume,"get min volume .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.6449350714683533,audio,audio
449,BluetoothHeadset_getDevicesMatchingConnectionStates,get devices matching connection states .public api for controlling the bluetooth headset service  this includes both bluetooth headset and handsfree  profiles,source,BluetoothHeadset,bluetooth,bluetooth,bluetooth,0.35906195640563965,bluetooth,bluetooth
451,GregorianCalendar_getMaximum,get maximum .gregorian calendar is a concrete subclass of calendar and provides the standard calendar system used by most of the world,source,GregorianCalendar,calendar information,calendar information,calendar information,0.6774623990058899,calendar,calendar
455,TrafficStats_getTotalRxPackets,"get total rx packets .class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.6374987959861755,network,network
457,URLConnection_getDefaultAllowUserInteraction,"get default allow user interaction .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media,0.1371580958366394,network,media
459,AccountManager_getUserData,"get user data .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.4785308539867401,user account,user account
461,Equalizer_setProperties,set properties .an equalizer is used to alter the frequency response of a particular music source or of the main output mix,sink,Equalizer,audio,audio,audio information,0.43653178215026855,audio,audio
467,Log_i,i .api for sending log output,sink,Log,log,log,logging,0.3793864846229553,log,log
470,DatagramSocket_getSoTimeout,get so timeout .this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.3225165605545044,network,network
473,SSLContext_getProvider,get provider .instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network information,network information,0.23882503807544708,network,network
480,URLConnection_getDoInput,"get do input .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network connection,0.14261791110038757,network,network
492,AudioTrack_setNotificationMarkerPosition,"set notification marker position .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",sink,AudioTrack,audio,audio,audio information,0.5023864507675171,audio,audio
496,DatagramSocket_getLocalSocketAddress,get local socket address .this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network information,0.3383539915084839,network,network
499,Calendar_toString,"to string . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.47644731402397156,calendar,calendar
513,HttpURLConnection_getErrorStream,get error stream .a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category,network connection,network information,0.36696651577949524,network,network
514,Calendar_getTimeZone,"get time zone . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.33640843629837036,calendar,calendar
515,AudioTrack_setPlaybackHeadPosition,"set playback head position .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",sink,AudioTrack,audio,audio,audio information,0.5790318846702576,audio,audio
516,Calendar_get,"get . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.4802010953426361,calendar,calendar
517,SQLiteProgram_bindBlob,bind blob .a base class for compiled s q lite programs,sink,SQLiteProgram,no category,database,media,0.185784712433815,database,media
519,DropBoxManager_addFile,"add file .enqueues chunks of data    the queue is size bounded and will drop old data if the enqueued data exceeds the maximum size   you can think of this as a persistent, system wide, blob oriented ""logcat""",sink,DropBoxManager,files,files,logging,0.4033389389514923,files,log
526,DatagramSocket_getInetAddress,get inet address .this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network information,0.4070464074611664,network,network
529,AccountManager_getAccountsByType,"get accounts by type .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.48154667019844055,user account,user account
531,HttpURLConnection_getPermission,get permission .a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category,network connection,network information,0.3249519169330597,network,network
533,URLConnection_getReadTimeout,"get read timeout .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network connection,0.14541840553283691,network,network
541,WifiP2pManager_requestGroupInfo,"request group info .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.4926362633705139,network,network
542,URLConnection_getIfModifiedSince,"get if modified since .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media,0.13837328553199768,network,media
544,ServerSocket_getInetAddress,"get inet address .this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",source,ServerSocket,no category,network connection,network information,0.40982189774513245,network,network
547,AudioManager_getParameters,get parameters .audio manager provides access to volume and ringer mode control,source,AudioManager,no category,audio,audio information,0.5495880842208862,audio,audio
550,MifareUltralight_getType,get type .provides access to mifare ultralight properties and input or output operations on a tag,source,MifareUltralight,nfc information,nfc communication,nfc information,0.09790962189435959,nfc,nfc
551,URLConnection_getOutputStream,"get output stream .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network connection,0.13417747616767883,network,network
554,SQLiteProgram_bindDouble,bind double .a base class for compiled s q lite programs,sink,SQLiteProgram,no category,database,media,0.18089047074317932,database,media
555,BassBoost_setStrength,set strength .bass boost is an audio effect to boost or amplify low frequencies of the sound  it is comparable to a simple equalizer but limited to one band amplification in the low frequency range,sink,BassBoost,audio,audio,audio information,0.7177069187164307,audio,audio
560,SSLEngine_unwrap,"unwrap .a class which enables secure communications using protocols such as the secure sockets layer  or  ietf rfc 2246 "" transport layer security""   protocols, but is transport independent",source,SSLEngine,network information,network information,media,0.17298032343387604,network,media
561,NsdManager_discoverServices,"discover services .the network service discovery manager class provides the api to discover services on a network  as an example, if device a and device b are connected over a wifi network, a game registered on device a can be discovered by a game on device b  another example use case is an application discovering printers on the network",sink,NsdManager,network connection,network connection,network information,0.2660568654537201,network,network
562,WifiP2pManager_addServiceRequest,"add service request .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.4199349284172058,network,network
563,AccountManager_getAuthTokenByFeatures,"get auth token by features .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.3847828507423401,user account,user account
566,SQLiteCursor_getCount,get count .a cursor implementation that exposes results from a query on a s q lite database  s q lite cursor is not internally synchronized so code using a s q lite cursor from multiple threads should perform its own synchronization when using the s q lite cursor,source,SQLiteCursor,database,database,database information,0.5590924024581909,database,database
571,Calendar_getDisplayNames,"get display names .the calendar class is an abstract class that provides methods for converting between a specific instant in time and a set of calendar fields such as y e a r, m o n t h, d a y_ o f_ m o n t h, h o u r, and so on, and for manipulating the calendar fields, such as getting the date of the next week  an instant in time can be represented by a millisecond value that is an offset from the epoch, january 1, 1970 00:00:00 000 gmt ",source,Calendar,calendar information,calendar information,calendar information,0.7677127718925476,calendar,calendar
572,URLConnection_getContent,"get content .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network connection,0.12707214057445526,network,network
575,NfcA_getTag,get tag .provides access to nfc a  properties and input or output operations on a tag,source,NfcA,nfc information,nfc information,nfc information,0.4248414635658264,nfc,nfc
577,SSLEngine_getSSLParameters,"get ssl parameters .a class which enables secure communications using protocols such as the secure sockets layer  or  ietf rfc 2246 "" transport layer security""   protocols, but is transport independent",source,SSLEngine,network information,network information,network information,0.16085048019886017,network,network
587,AccountManager_setUserData,"set user data .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.5133972764015198,user account,user account
591,URLConnection_getURL,"get url .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media,0.1347091645002365,network,media
592,ClassLoader_getResourceAsStream,"get resource as stream .a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,system settings,file information,0.29890504479408264,system settings,files
599,ServerSocket_getChannel,"get channel .this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",source,ServerSocket,no category,network connection,network connection,0.4064398407936096,network,network
601,DatagramSocket_getReceiveBufferSize,get receive buffer size .this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.33469247817993164,network,network
604,PresetReverb_setProperties,"set properties .a sound generated within a room travels in many directions  the listener first hears the direct sound from the source itself  later, he or she hears discrete echoes caused by sound bouncing off nearby walls, the ceiling and the floor  as sound waves arrive after undergoing more and more reflections, individual reflections become indistinguishable and the listener hears continuous reverberation that decays over time  reverb is vital for modeling a listener's environment  it can be used in music applications to simulate music being played back in various environments, or in games to immerse the listener within the game's environment  the preset reverb class allows an application to configure the global reverb using a reverb preset  this is primarily used for adding some reverb in a music playback context  applications requiring control over a more advanced environmental reverb are advised to use the environmental reverb class",sink,PresetReverb,audio,audio,audio information,0.2776454985141754,audio,audio
605,SQLiteCursor_getColumnIndex,get column index .a cursor implementation that exposes results from a query on a s q lite database  s q lite cursor is not internally synchronized so code using a s q lite cursor from multiple threads should perform its own synchronization when using the s q lite cursor,source,SQLiteCursor,database,database,database information,0.5525451302528381,database,database
608,AudioTrack_getPlayState,"get play state .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.6049855351448059,audio,audio
622,AudioTrack_getMaxVolume,"get max volume .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.6704096794128418,audio,audio
625,ServerSocket_bind,"bind .this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",sink,ServerSocket,no category,network connection,network connection,0.3196026384830475,network,network
630,DatagramSocket_setSendBufferSize,set send buffer size .this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category,network connection,network connection,0.34337061643600464,network,network
631,Debug_dumpHprofData,"dump hprof data .provides various debugging methods for android applications, including tracing and allocation counts",sink,Debug,files,files,media,0.1605904996395111,files,media
634,SSLContext_getClientSessionContext,get client session context .instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network connection,network information,0.22896228730678558,network,network
641,GregorianCalendar_getMinimum,get minimum .gregorian calendar is a concrete subclass of calendar and provides the standard calendar system used by most of the world,source,GregorianCalendar,calendar information,calendar information,calendar information,0.6446439027786255,calendar,calendar
645,AudioManager_setRingerMode,set ringer mode .audio manager provides access to volume and ringer mode control,sink,AudioManager,audio,audio,audio information,0.5550572276115417,audio,audio
651,URLConnection_getPermission,"get permission .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media,0.142784982919693,network,media
652,Calendar_getInstance,"get instance . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.5409137606620789,calendar,calendar
653,AccountManager_updateCredentials,"update credentials .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.36967897415161133,user account,user account
655,AccountManager_invalidateAuthToken,"invalidate auth token .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.3088054656982422,user account,user account
658,MifareUltralight_get,get .provides access to mifare ultralight properties and input or output operations on a tag,source,MifareUltralight,nfc information,nfc information,media,0.109066903591156,nfc,media
660,MifareUltralight_readPages,read pages .provides access to mifare ultralight properties and input or output operations on a tag,source,MifareUltralight,nfc information,nfc information,media,0.2641574442386627,nfc,media
664,NfcF_transceive,transceive .provides access to nfc f  properties and input or output operations on a tag,source,NfcF,nfc information,nfc information,nfc information,0.267743319272995,nfc,nfc
665,SQLiteDatabase_update,update .exposes methods to manage a s q lite database,sink,SQLiteDatabase,no category,database,database information,0.4499623775482178,database,database
669,NfcA_get,get .provides access to nfc a  properties and input or output operations on a tag,source,NfcA,nfc information,nfc information,nfc information,0.3491778075695038,nfc,nfc
677,WifiP2pManager_setDnsSdResponseListeners,"set dns sd response listeners .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.5000661015510559,network,network
681,HttpURLConnection_setRequestMethod,set request method .a url connection with support for http specific features  see  the spec  for details,sink,HttpURLConnection,no category,network connection,network information,0.31955859065055847,network,network
682,WifiP2pManager_removeLocalService,"remove local service .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.4614959955215454,network,network
686,MediaPlayer_setDataSource,set data source .media player class can be used to control playback of audio or video files and streams,sink,MediaPlayer,files,media,media,0.37797826528549194,media,media
687,URL_openConnection,"open connection .class url represents a uniform resource locator, a pointer to a ""resource"" on the world wide web  a resource can be something as simple as a file or a directory, or it can be a reference to a more complicated object, such as a query to a database or to a search engine  more information on the types of urls and their formats can be found at: types of ur",sink,URL,network connection,network connection,file information,0.37143391370773315,network,files
688,NfcA_getTimeout,get timeout .provides access to nfc a  properties and input or output operations on a tag,source,NfcA,nfc information,nfc information,nfc information,0.410050630569458,nfc,nfc
692,SSLContext_getDefaultSSLParameters,get default ssl parameters .instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network information,media,0.12454463541507721,network,media
696,Debug_dumpService,"dump service .provides various debugging methods for android applications, including tracing and allocation counts",sink,Debug,files,files,media,0.1472325623035431,files,media
697,AudioTrack_getNativeOutputSampleRate,"get native output sample rate .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5297731757164001,audio,audio
699,Calendar_getTimeInMillis,"get time in millis . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.35205331444740295,calendar,calendar
700,AccessibilityManager_sendAccessibilityEvent,"send accessibility event .system level service that serves as an event dispatch for accessibility events, and provides facilities for querying the accessibility state of the system  accessibility events are generated when something notable happens in the user interface, for example an activity starts, the focus or selection of a view changes etc  parties interested in handling accessibility events implement and register an accessibility service which extends accessibility service",sink,AccessibilityManager,log,system settings,media,0.19271844625473022,system settings,media
707,ServerSocket_getReceiveBufferSize,"get receive buffer size .this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",source,ServerSocket,no category,network connection,network connection,0.42382052540779114,network,network
710,RandomAccessFile_write,"write .instances of this class support both reading and writing to a random access file  a random access file behaves like a large array of bytes stored in the file system  there is a kind of cursor, or index into the implied array, called the file pointer; input operations read bytes starting at the file pointer and advance the file pointer past the bytes read  if the random access file is created in read or write mode, then output operations are also available; output operations write bytes starting at the file pointer and advance the file pointer past the bytes written  output operations that write past the current end of the implied array cause the array to be extended  the file pointer can be read by the get file pointer method and set by the seek method",sink,RandomAccessFile,files,files,media,0.19244837760925293,files,media
713,GregorianCalendar_getLeastMaximum,get least maximum .gregorian calendar is a concrete subclass of calendar and provides the standard calendar system used by most of the world,source,GregorianCalendar,calendar information,calendar information,calendar information,0.6974501013755798,calendar,calendar
720,ServerSocket_getReuseAddress,"get reuse address .this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",source,ServerSocket,no category,network connection,network connection,0.41241568326950073,network,network
722,Calendar_set,"set . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",sink,Calendar,no category,calendar,calendar information,0.4843025505542755,calendar,calendar
724,DatagramSocket_send,send .this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category,network connection,network connection,0.2913929224014282,network,network
729,ServerSocket_getSoTimeout,"get so timeout .this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",source,ServerSocket,no category,network connection,network connection,0.411447674036026,network,network
730,LocationManager_setTestProviderEnabled,"set test provider enabled .this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",sink,LocationManager,geolocation,geolocation,geographical location,0.2502145767211914,geolocation,geolocation
732,SmsManager_sendDataMessage,"send data message .manages sms operations such as sending data, text, and pdu sms messages  get this object by calling the static method get default  to create an instance of sms manager associated with a specific subscription i d, call get sms manager for subscription id  this is typically used for devices that support multiple active subscriptions at once",sink,SmsManager,text message,text message,media information,0.45463091135025024,text message,media
734,IsoDep_get,get .provides access to iso dep  properties and input or output operations on a tag,source,IsoDep,nfc information,nfc information,file information,0.08818016946315765,nfc,files
740,URLConnection_getInputStream,"get input stream .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media,0.135999858379364,network,media
741,WallpaperManager_setBitmap,"set bitmap .provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",sink,WallpaperManager,log,media,media,0.3094242811203003,media,media
743,Calendar_getFirstDayOfWeek,"get first day of week . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.42103493213653564,calendar,calendar
744,CalendarView_setMinDate,set min date .this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,sink,CalendarView,no category,calendar information,calendar information,0.9282867312431335,calendar,calendar
745,MifareUltralight_setTimeout,set timeout .provides access to mifare ultralight properties and input or output operations on a tag,sink,MifareUltralight,nfc communication,nfc communication,media,0.11529915779829025,nfc,media
747,SQLiteCursor_getDatabase,get database .a cursor implementation that exposes results from a query on a s q lite database  s q lite cursor is not internally synchronized so code using a s q lite cursor from multiple threads should perform its own synchronization when using the s q lite cursor,source,SQLiteCursor,database,database,database information,0.6787299513816833,database,database
748,DatagramSocket_setSoTimeout,set so timeout .this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category,network connection,network connection,0.32879552245140076,network,network
749,Log_e,e .api for sending log output,sink,Log,log,log,logging,0.4526810944080353,log,log
750,FileOutputStream_write,"write .a file output stream is an output stream for writing data to a file or to a file descriptor  whether or not a file is available or may be created depends upon the underlying platform   some platforms, in particular, allow a file to be opened for writing by only one file output stream  at a time   in such situations the constructors in this class will fail if the file involved is already open",sink,FileOutputStream,files,files,file information,0.40681192278862,files,files
751,TrafficStats_getTotalTxBytes,"get total tx bytes .class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.6746636033058167,network,network
753,AudioTrack_getSampleRate,"get sample rate .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.61700040102005,audio,audio
754,TrafficStats_setThreadStatsTag,"set thread stats tag .class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",sink,TrafficStats,network connection,network connection,network information,0.5985028147697449,network,network
755,CalendarView_getDate,get date .this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,source,CalendarView,calendar information,calendar information,calendar information,0.9248723387718201,calendar,calendar
756,WifiP2pManager_setServiceResponseListener,"set service response listener .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.47776734828948975,network,network
757,AudioTrack_getStreamType,"get stream type .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5703293681144714,audio,audio
758,MifareUltralight_getTag,get tag .provides access to mifare ultralight properties and input or output operations on a tag,source,MifareUltralight,nfc information,nfc information,media,0.16079193353652954,nfc,media
760,ClassLoader_getSystemResources,"get system resources .a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,network connection,file information,0.4893852770328522,network,files
768,SSLParameters_getWantClientAuth,"get want client auth .encapsulates parameters for an ssl or  tls connection  the parameters are the list of ciphersuites to be accepted in an ssl or  tls handshake, the list of protocols to be allowed, the endpoint identification algorithm during ssl or  tls handshaking, the server name indication , the algorithm constraints and whether ssl or  tls servers should request or require client authentication, etc",source,SSLParameters,network information,network connection,network connection,0.18906354904174805,network,network
770,AudioTrack_getChannelCount,"get channel count .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.6444351077079773,audio,audio
771,NfcF_setTimeout,set timeout .provides access to nfc f  properties and input or output operations on a tag,sink,NfcF,nfc communication,nfc communication,nfc information,0.3681354522705078,nfc,nfc
779,NfcF_getTag,get tag .provides access to nfc f  properties and input or output operations on a tag,source,NfcF,nfc information,nfc information,nfc information,0.43491682410240173,nfc,nfc
781,WifiP2pManager_removeServiceRequest,"remove service request .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.501446008682251,network,network
785,IsoDep_getMaxTransceiveLength,get max transceive length .provides access to iso dep  properties and input or output operations on a tag,source,IsoDep,nfc information,nfc information,network connection,0.1049543172121048,nfc,network
790,SSLContext_getSupportedSSLParameters,get supported ssl parameters .instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network connection,media,0.13321436941623688,network,media
796,MifareUltralight_transceive,transceive .provides access to mifare ultralight properties and input or output operations on a tag,source,MifareUltralight,nfc information,nfc information,nfc communication,0.11942334473133087,nfc,nfc
799,URLConnection_getContentLength,"get content length .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media,0.1356213241815567,network,media
800,NfcA_getAtqa,get atqa .provides access to nfc a  properties and input or output operations on a tag,source,NfcA,nfc information,nfc information,nfc information,0.37546586990356445,nfc,nfc
