key,docs,classification,class,category_map
SQLiteDatabase_setMaximumSize,set maximum size .exposes methods to manage a s q lite database,sink,SQLiteDatabase,no category
ShapeDrawable_getChangingConfigurations,"get changing configurations .a drawable object that draws primitive shapes  a shape drawable takes a shape object and manages its presence on the screen  if no shape is given, then the shape drawable will default to a rect shape",source,ShapeDrawable,no category
MulticastSocket_getNetworkInterface,"get network interface .the multicast datagram socket class is useful for sending and receiving ip multicast packets   a multicast socket is a  datagram socket, with additional capabilities for joining ""groups"" of other multicast hosts on the internet",source,MulticastSocket,no category
DateFormat_getLongDateFormat,get long date format .utility class for producing strings with formatted date or time,source,DateFormat,no category
ClassLoader_setClassAssertionStatus,"set class assertion status .a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",sink,ClassLoader,no category
AccessibilityManager_getEnabledAccessibilityServiceList,"get enabled accessibility service list .system level service that serves as an event dispatch for accessibility events, and provides facilities for querying the accessibility state of the system  accessibility events are generated when something notable happens in the user interface, for example an activity starts, the focus or selection of a view changes etc  parties interested in handling accessibility events implement and register an accessibility service which extends accessibility service",source,AccessibilityManager,no category
Attributes_get,"get .the attributes class maps manifest attribute names to associated string values  valid attribute names are case insensitive, are restricted to the ascii characters in the set [0 9a z a z_ ], and cannot exceed 70 characters in length  attribute values can contain any characters and will be utf8 encoded when written to the output stream   see the jar file specification for more information about valid attribute names and values",source,Attributes,no category
BackupAgentHelper_onBackup,"on backup .a convenient backup agent wrapper class that automatically manages heterogeneous data sets within the backup data, each identified by a unique key prefix   when processing a backup or restore operation, the backup agent helper dispatches to one or more installed backup helper objects, each of which is responsible for a defined subset of the data being processed",sink,BackupAgentHelper,no category
Path_set,"set .the path class encapsulates compound  geometric paths consisting of straight line segments, quadratic curves, and cubic curves  it can be drawn with canvas draw path, either filled or stroked , or it can be used for clipping or to draw text on a path",sink,Path,no category
EditText_setEllipsize,set ellipsize .an editable text view that shows completion suggestions automatically while the user is typing,sink,EditText,no category
WebSettings_getBlockNetworkLoads,"get block network loads .manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",source,WebSettings,no category
Field_get,"get .a field provides information about, and dynamic access to, a single field of a class or an interface   the reflected field may be a class  field or an instance field",source,Field,no category
DatePicker_setMaxDate,"set max date .date picker is a directly subclass of picker  this class is a widget for selecting a date  the date can be selected by a year, month, and day columns  the ""min date"" and ""max date"" from which dates to be selected can be customized   the columns can be customized by attribute ""date picker format"" or set date picker format  r attr max date r attr min date r attr date picker forma",sink,DatePicker,no category
AudioRecord_getNotificationMarkerPosition,"get notification marker position .the audio record class manages the audio resources for java applications to record audio from the audio input hardware of the platform  this is achieved by ""pulling""  the data from the audio record object  the application is responsible for polling the audio record object in time using one of the following three methods:  read, read or read  the choice of which method to use will be based on the audio data storage format that is the most convenient for the user of audio record",source,AudioRecord,no category
ExifInterface_getAttributeDouble,get attribute double .this is a class for reading and writing exif tags in various image file formats,source,ExifInterface,no category
MediaRecorder_setProfile,set profile .used to record audio and video  the recording control is based on a simple state machine ,sink,MediaRecorder,no category
DecimalFormatSymbols_getPatternSeparator,"get pattern separator . icu's replacement for decimal format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'  this class represents the set of symbols  needed by decimal format to format numbers  decimal format creates for itself an instance of decimal format symbols from its locale data   if you need to change any of these symbols, you can get the decimal format symbols object from your decimal format and modify it",source,DecimalFormatSymbols,no category
SearchManager_getSearchablesInGlobalSearch,get searchables in global search .this class provides access to the system search services,source,SearchManager,no category
AccountManager_getAuthToken,"get auth token .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account
MediaRecorder_setAudioChannels,set audio channels .used to record audio and video  the recording control is based on a simple state machine ,sink,MediaRecorder,no category
WallpaperManager_peekDrawable,"peek drawable .provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",source,WallpaperManager,no category
AssetManager_openFd,open fd .provides access to an application's raw asset files; see resources for the way most applications will want to retrieve their resource data  this class presents a lower level api that allows you to open and read raw files that have been bundled with the application as a simple stream of bytes,sink,AssetManager,no category
ScanResult_writeToParcel,write to parcel .scan result for bluetooth le scan,sink,ScanResult,network connection
URL_getFile,"get file .class url represents a uniform resource locator, a pointer to a ""resource"" on the world wide web  a resource can be something as simple as a file or a directory, or it can be a reference to a more complicated object, such as a query to a database or to a search engine  more information on the types of urls and their formats can be found at: types of ur",source,URL,no category
SQLiteProgram_bindLong,bind long .a base class for compiled s q lite programs,sink,SQLiteProgram,no category
SSLContext_getSocketFactory,get socket factory .instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information
AssetManager_openXmlResourceParser,open xml resource parser .provides access to an application's raw asset files; see resources for the way most applications will want to retrieve their resource data  this class presents a lower level api that allows you to open and read raw files that have been bundled with the application as a simple stream of bytes,sink,AssetManager,no category
MediaRecorder_getAudioSourceMax,get audio source max .used to record audio and video  the recording control is based on a simple state machine ,source,MediaRecorder,no category
Equalizer_getNumberOfBands,get number of bands .an equalizer is used to alter the frequency response of a particular music source or of the main output mix,source,Equalizer,no category
ExifInterface_getThumbnail,get thumbnail .this is a class for reading and writing exif tags in various image file formats,source,ExifInterface,no category
BreakIterator_getAvailableLocales,"get available locales . icu's replacement for break iterator  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,BreakIterator,no category
AttributesImpl_setType,set type .default implementation of the attributes interface,sink,AttributesImpl,no category
SQLiteDatabase_getVersion,get version .exposes methods to manage a s q lite database,source,SQLiteDatabase,database
SSLParameters_getProtocols,"get protocols .encapsulates parameters for an ssl or  tls connection  the parameters are the list of ciphersuites to be accepted in an ssl or  tls handshake, the list of protocols to be allowed, the endpoint identification algorithm during ssl or  tls handshaking, the server name indication , the algorithm constraints and whether ssl or  tls servers should request or require client authentication, etc",source,SSLParameters,network information
SSLEngine_getPeerPort,"get peer port .a class which enables secure communications using protocols such as the secure sockets layer  or  ietf rfc 2246 "" transport layer security""   protocols, but is transport independent",source,SSLEngine,network information
ShapeDrawable_getPaint,"get paint .a drawable object that draws primitive shapes  a shape drawable takes a shape object and manages its presence on the screen  if no shape is given, then the shape drawable will default to a rect shape",source,ShapeDrawable,no category
CharBuffer_get,get .a char buffer,source,CharBuffer,no category
Socket_getSoLinger,get so linger .this class implements client sockets   a socket is an endpoint for communication between two machines,source,Socket,no category
AudioManager_setMode,set mode .audio manager provides access to volume and ringer mode control,sink,AudioManager,audio
Equalizer_getPresetName,get preset name .an equalizer is used to alter the frequency response of a particular music source or of the main output mix,source,Equalizer,no category
ByteBuffer_array,array .a byte buffer,source,ByteBuffer,no category
SSLContext_getProtocol,get protocol .instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information
URL_getHost,"get host .class url represents a uniform resource locator, a pointer to a ""resource"" on the world wide web  a resource can be something as simple as a file or a directory, or it can be a reference to a more complicated object, such as a query to a database or to a search engine  more information on the types of urls and their formats can be found at: types of ur",source,URL,no category
ViewAnimator_setOutAnimation,set out animation .base class for a frame layout container that will perform animations when switching between its views,sink,ViewAnimator,no category
SimpleAdapter_getDropDownView,"get drop down view .an easy adapter to map static data to views defined in an xml file  you can specify the data backing the list as an array list of maps  each entry in the array list corresponds to one row in the list  the maps contain the data for each row  you also specify an xml file that defines the views used to display the row, and a mapping from keys in the map to specific views  binding data to views occurs in two phases  first, if a simple adapter view binder is available, view binder set view value is invoked  if the returned value is true, binding has occurred  if the returned value is false, the following views are then tried in order",source,SimpleAdapter,no category
SearchManager_getSearchableInfo,get searchable info .this class provides access to the system search services,source,SearchManager,no category
DecimalFormat_setMultiplier,"set multiplier . icu's replacement for decimal format  methods, fields, and other functionality specific to icu are labeled '[icu]'",sink,DecimalFormat,no category
Socket_getTrafficClass,get traffic class .this class implements client sockets   a socket is an endpoint for communication between two machines,source,Socket,no category
MediaRecorder_setAudioEncodingBitRate,set audio encoding bit rate .used to record audio and video  the recording control is based on a simple state machine ,sink,MediaRecorder,no category
PrintWriter_append,"append .prints formatted representations of objects to a text output stream   this class implements all of the print methods found in print stream   it does not contain methods for writing raw bytes, for which a program should use unencoded byte streams",sink,PrintWriter,no category
SimpleDateFormat_set2DigitYearStart,"set2 digit year start . icu's replacement for simple date format  methods, fields, and other functionality specific to icu are labeled '[icu]'",sink,SimpleDateFormat,no category
Field_setChar,"set char .a field provides information about, and dynamic access to, a single field of a class or an interface   the reflected field may be a class  field or an instance field",sink,Field,no category
Signature_getInstance,get instance .the signature class is used to provide applications the functionality of a digital signature algorithm  digital signatures are used for authentication and integrity assurance of digital data,source,Signature,no category
DatagramSocket_setBroadcast,set broadcast .this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category
Inflater_setInput,set input .this class provides support for general purpose decompression using the popular zlib compression library  the zlib compression library was initially developed as part of the png graphics standard and is not protected by patents  it is fully described in the specifications at the java util zip package description,sink,Inflater,no category
JSONArray_get,"get .a dense indexed sequence of values  values may be any mix of json objects, other json arrays, strings, booleans, integers, longs, doubles, null or json object  n u l l  values may not be na ns, infinities, or of any type not listed here",source,JSONArray,no category
Manifest_getMainAttributes,"get main attributes .the manifest class is used to maintain manifest entry names and their associated attributes  there are main manifest attributes as well as per entry attributes  for information on the manifest format, please see the  manifest format specification",source,Manifest,no category
StringWriter_append,"append .a character stream that collects its output in a string buffer, which can then be used to construct a string",sink,StringWriter,no category
Socket_getPort,get port .this class implements client sockets   a socket is an endpoint for communication between two machines,source,Socket,no category
AccountManager_newChooseAccountIntent,"new choose account intent .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account
CalendarView_getDateTextAppearance,get date text appearance .this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,source,CalendarView,calendar information
SparseLongArray_get,"get .sparse long arrays map integers to longs   unlike a normal array of longs, there can be gaps in the indices   it is intended to be more memory efficient than using a hash map to map integers to longs, both because it avoids auto boxing keys and values and its data structure doesn't rely on an extra entry object for each mapping",source,SparseLongArray,no category
AudioRecord_getSampleRate,"get sample rate .the audio record class manages the audio resources for java applications to record audio from the audio input hardware of the platform  this is achieved by ""pulling""  the data from the audio record object  the application is responsible for polling the audio record object in time using one of the following three methods:  read, read or read  the choice of which method to use will be based on the audio data storage format that is the most convenient for the user of audio record",source,AudioRecord,no category
PaintDrawable_setCornerRadius,"set corner radius .drawable that draws its bounds in the given paint, with optional rounded corners",sink,PaintDrawable,no category
JSONArray_getString,"get string .a dense indexed sequence of values  values may be any mix of json objects, other json arrays, strings, booleans, integers, longs, doubles, null or json object  n u l l  values may not be na ns, infinities, or of any type not listed here",source,JSONArray,no category
WebSettings_getJavaScriptEnabled,"get java script enabled .manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",source,WebSettings,system settings
Inflater_getTotalIn,get total in .this class provides support for general purpose decompression using the popular zlib compression library  the zlib compression library was initially developed as part of the png graphics standard and is not protected by patents  it is fully described in the specifications at the java util zip package description,source,Inflater,no category
WifiP2pManager_stopPeerDiscovery,"stop peer discovery .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection
RandomAccessFile_setLength,"set length .instances of this class support both reading and writing to a random access file  a random access file behaves like a large array of bytes stored in the file system  there is a kind of cursor, or index into the implied array, called the file pointer; input operations read bytes starting at the file pointer and advance the file pointer past the bytes read  if the random access file is created in read or write mode, then output operations are also available; output operations write bytes starting at the file pointer and advance the file pointer past the bytes written  output operations that write past the current end of the implied array cause the array to be extended  the file pointer can be read by the get file pointer method and set by the seek method",sink,RandomAccessFile,files
WallpaperManager_getDrawable,"get drawable .provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",source,WallpaperManager,no category
DatagramSocket_getLocalAddress,get local address .this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category
AccountManager_setPassword,"set password .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account
AudioTrack_setPlaybackRate,"set playback rate .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",sink,AudioTrack,audio
LayoutAnimationController_setInterpolator,"set interpolator .a layout animation controller is used to animate the children of a layout or a view group  each child uses the same animation but for every one of them, the animation starts at a different time  a layout animation controller is used by view group to compute the delay by which each child's animation start must be offset  the delay is computed by using characteristics of each child, like its index in the view group  this standard implementation computes the delay by multiplying a fixed amount of miliseconds by the index of the child in its parent view group  subclasses are supposed to override get delay for view to implement a different way of computing the delay  for instance, a grid layout animation controller will compute the delay based on the column and row indices of the child in its parent view group  information used to compute the animation delay of each child are stored in an instance of layout animation controller animation parameters, itself stored in the view group layout params of the view",sink,LayoutAnimationController,no category
WebSettings_setBuiltInZoomControls,"set built in zoom controls .manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",sink,WebSettings,no category
AttributesImpl_setAttribute,set attribute .default implementation of the attributes interface,sink,AttributesImpl,no category
DecimalFormat_getNegativePrefix,"get negative prefix . icu's replacement for decimal format  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,DecimalFormat,no category
CharArrayWriter_append,append .this class implements a character buffer that can be used as an writer  the buffer automatically grows when data is written to the stream   the data can be retrieved using to char array and to string,sink,CharArrayWriter,no category
KeyStore_getCertificateChain,get certificate chain .this class represents a storage facility for cryptographic keys and certificates,source,KeyStore,no category
AccountManager_blockingGetAuthToken,"blocking get auth token .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account
SQLiteProgram_bindString,bind string .a base class for compiled s q lite programs,sink,SQLiteProgram,no category
GregorianCalendar_setGregorianChange,"set gregorian change . icu's replacement for gregorian calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",sink,GregorianCalendar,no category
Socket_getChannel,get channel .this class implements client sockets   a socket is an endpoint for communication between two machines,source,Socket,no category
DoubleBuffer_put,put .a double buffer,sink,DoubleBuffer,no category
AccountManager_getAccounts,"get accounts .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account
SSLContext_getServerSocketFactory,get server socket factory .instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information
PrintWriterPrinter_println,println .implementation of a printer that sends its output to a print writer,sink,PrintWriterPrinter,no category
GZIPOutputStream_write,write .this class implements a stream filter for writing compressed data in the gzip file format,sink,GZIPOutputStream,no category
Signature_getProvider,get provider .the signature class is used to provide applications the functionality of a digital signature algorithm  digital signatures are used for authentication and integrity assurance of digital data,source,Signature,no category
Field_getModifiers,"get modifiers .a field provides information about, and dynamic access to, a single field of a class or an interface   the reflected field may be a class  field or an instance field",source,Field,no category
DownloadManager_getMimeTypeForDownloadedFile,"get mime type for downloaded file .the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",source,DownloadManager,no category
SSLSocket_getSSLParameters,"get ssl parameters .this class extends sockets and provides secure socket using protocols such as the "" secure sockets layer""  or ietf "" transport layer security""  protocols",source,SSLSocket,network information
WallpaperManager_getDesiredMinimumWidth,"get desired minimum width .provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",source,WallpaperManager,no category
Attributes_getValue,"get value .the attributes class maps manifest attribute names to associated string values  valid attribute names are case insensitive, are restricted to the ascii characters in the set [0 9a z a z_ ], and cannot exceed 70 characters in length  attribute values can contain any characters and will be utf8 encoded when written to the output stream   see the jar file specification for more information about valid attribute names and values",source,Attributes,no category
MessageFormat_getLocale,"get locale . icu's replacement for message format  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,MessageFormat,no category
Log_getStackTraceString,get stack trace string .api for sending log output,source,Log,no category
URLConnection_getConnectTimeout,"get connect timeout .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category
DecimalFormat_getPositiveSuffix,"get positive suffix . icu's replacement for decimal format  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,DecimalFormat,no category
SQLiteDatabase_openOrCreateDatabase,open or create database .exposes methods to manage a s q lite database,sink,SQLiteDatabase,no category
ServerSocket_setSoTimeout,"set so timeout .this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",sink,ServerSocket,no category
Toast_getHorizontalMargin,get horizontal margin .a toast is a view containing a quick little message for the user   the toast class helps you create and show those,source,Toast,no category
DecimalFormatSymbols_setInternationalCurrencySymbol,"set international currency symbol . icu's replacement for decimal format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'  this class represents the set of symbols  needed by decimal format to format numbers  decimal format creates for itself an instance of decimal format symbols from its locale data   if you need to change any of these symbols, you can get the decimal format symbols object from your decimal format and modify it",sink,DecimalFormatSymbols,no category
WebSettings_setAllowFileAccess,"set allow file access .manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",sink,WebSettings,no category
ValidatorHandler_getProperty,get property .streaming validator that works on sax stream,source,ValidatorHandler,no category
SQLiteDatabase_query,query .exposes methods to manage a s q lite database,source,SQLiteDatabase,database
ZipEntry_getComment,get comment .this class is used to represent a zip file entry,source,ZipEntry,no category
SimpleCursorAdapter_getViewBinder,"get view binder .an easy adapter to map columns from a cursor to text views or image views defined in an xml file  you can specify which columns you want, which views you want to display the columns, and the xml file that defines the appearance of these views  binding occurs in two phases  first, if a simple cursor adapter view binder is available, view binder set view value is invoked  if the returned value is true, binding has occured  if the returned value is false and the view to bind is a text view, set view text is invoked  if the returned value is false and the view to bind is an image view, set view image is invoked  if no appropriate binding can be found, an illegal state exception is thrown  if this adapter is used with filtering, for instance in an auto complete text view, you can use the simple cursor adapter cursor to string converter and the filter query provider interfaces to get control over the filtering process  you can refer to convert to string and cursor adapter run query on background thread for more information",source,SimpleCursorAdapter,no category
Calendar_getActualMaximum,"get actual maximum . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information
LongBuffer_get,get .a long buffer,source,LongBuffer,no category
Reader_read,"read .abstract class for reading character streams   the only methods that a subclass must implement are read and close   most subclasses, however, will override some of the methods defined here in order to provide higher efficiency, additional functionality, or both",sink,Reader,no category
AppWidgetManager_getAppWidgetInfo,get app widget info .updates app widget state; gets information about installed app widget providers and other app widget related state,source,AppWidgetManager,no category
AccessibilityService_getServiceInfo,"get service info .accessibility services should only be used to assist users with disabilities in using android devices and apps  they run in the background and receive callbacks by the system when accessibility events are fired  such events denote some state transition in the user interface, for example, the focus has changed, a button has been clicked, etc  such a service can optionally request the capability for querying the content of the active window  development of an accessibility service requires extending this class and implementing its abstract methods",source,AccessibilityService,no category
AudioTrack_setAuxEffectSendLevel,"set aux effect send level .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",sink,AudioTrack,audio
Log_v,v .api for sending log output,sink,Log,log
DateFormat_setLenient,"set lenient . icu's replacement for date format  methods, fields, and other functionality specific to icu are labeled '[icu]'",sink,DateFormat,no category
SearchView_setImeOptions,"set ime options .a widget that provides a user interface for the user to enter a search query and submit a request to a search provider  shows a list of query suggestions or results, if available, and allows the user to pick a suggestion or result to launch into",sink,SearchView,no category
Calendar_getDisplayName,"get display name . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information
GregorianCalendar_getActualMaximum,"get actual maximum . icu's replacement for gregorian calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,GregorianCalendar,calendar information
LogManager_getLogManager,get log manager .there is a single global log manager object that is used to maintain a set of shared state about loggers and log services,source,LogManager,no category
SecureRandom_getInstance,get instance .this class provides a cryptographically strong random number generator ,source,SecureRandom,no category
DatagramPacket_getPort,get port .this class represents a datagram packet,source,DatagramPacket,no category
ObjectOutputStream_writeUTF,"write utf .an object output stream writes primitive data types and graphs of java objects to an output stream   the objects can be read  using an object input stream   persistent storage of objects can be accomplished by using a file for the stream   if the stream is a network socket stream, the objects can be reconstituted on another host or in another process",sink,ObjectOutputStream,no category
Field_getType,"get type .a field provides information about, and dynamic access to, a single field of a class or an interface   the reflected field may be a class  field or an instance field",source,Field,no category
ColorMatrix_getArray,"get array .4x5 matrix for transforming the color and alpha components of a bitmap  the matrix can be passed as single array, and is treated as follows",source,ColorMatrix,no category
Toast_getXOffset,get x offset .a toast is a view containing a quick little message for the user   the toast class helps you create and show those,source,Toast,no category
MulticastSocket_setNetworkInterface,"set network interface .the multicast datagram socket class is useful for sending and receiving ip multicast packets   a multicast socket is a  datagram socket, with additional capabilities for joining ""groups"" of other multicast hosts on the internet",sink,MulticastSocket,no category
Binder_dump,"dump .base class for a remotable object, the core part of a lightweight remote procedure call mechanism defined by i binder  this class is an implementation of i binder that provides standard local implementation of such an object",sink,Binder,files
Calendar_getMinimalDaysInFirstWeek,"get minimal days in first week . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information
WallpaperManager_setResource,"set resource .provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",sink,WallpaperManager,log
PKIXParameters_getDate,get date .parameters used as input for the pkix cert path validator algorithm,source,PKIXParameters,no category
ViewAnimator_getOutAnimation,get out animation .base class for a frame layout container that will perform animations when switching between its views,source,ViewAnimator,no category
ValueAnimator_setFrameDelay,set frame delay .this class provides a simple timing engine for running animations which calculate animated values and set them on target objects,sink,ValueAnimator,no category
SearchView_getSuggestionsAdapter,"get suggestions adapter .a widget that provides a user interface for the user to enter a search query and submit a request to a search provider  shows a list of query suggestions or results, if available, and allows the user to pick a suggestion or result to launch into",source,SearchView,no category
SSLContext_getDefault,get default .instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information
ObjectOutputStream_writeObject,"write object .an object output stream writes primitive data types and graphs of java objects to an output stream   the objects can be read  using an object input stream   persistent storage of objects can be accomplished by using a file for the stream   if the stream is a network socket stream, the objects can be reconstituted on another host or in another process",sink,ObjectOutputStream,no category
DateFormat_getDateFormatOrder,get date format order .utility class for producing strings with formatted date or time,source,DateFormat,no category
LayoutAnimationController_getOrder,"get order .a layout animation controller is used to animate the children of a layout or a view group  each child uses the same animation but for every one of them, the animation starts at a different time  a layout animation controller is used by view group to compute the delay by which each child's animation start must be offset  the delay is computed by using characteristics of each child, like its index in the view group  this standard implementation computes the delay by multiplying a fixed amount of miliseconds by the index of the child in its parent view group  subclasses are supposed to override get delay for view to implement a different way of computing the delay  for instance, a grid layout animation controller will compute the delay based on the column and row indices of the child in its parent view group  information used to compute the animation delay of each child are stored in an instance of layout animation controller animation parameters, itself stored in the view group layout params of the view",source,LayoutAnimationController,no category
JSONArray_put,"put .a dense indexed sequence of values  values may be any mix of json objects, other json arrays, strings, booleans, integers, longs, doubles, null or json object  n u l l  values may not be na ns, infinities, or of any type not listed here",source,JSONArray,no category
WebSettings_getMinimumLogicalFontSize,"get minimum logical font size .manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",source,WebSettings,no category
ServerSocket_setReceiveBufferSize,"set receive buffer size .this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",sink,ServerSocket,no category
Adler32_getValue,get value .a class that can be used to compute the adler 32 checksum of a data stream  an adler 32 checksum is almost as reliable as a crc 32 but can be computed much faster,source,Adler32,no category
AtomicLong_lazySet,"lazy set .a long value that may be updated atomically   see the var handle specification for descriptions of the properties of atomic accesses  an atomic long is used in applications such as atomically incremented sequence numbers, and cannot be used as a replacement for a long  however, this class does extend number to allow uniform access by tools and utilities that deal with numerically based classes",sink,AtomicLong,no category
AtomicInteger_get,"get .an int value that may be updated atomically   see the var handle specification for descriptions of the properties of atomic accesses  an atomic integer is used in applications such as atomically incremented counters, and cannot be used as a replacement for an integer  however, this class does extend number to allow uniform access by tools and utilities that deal with numerically based classes",source,AtomicInteger,no category
ClassLoader_getSystemResourceAsStream,"get system resource as stream .a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information
KeyChain_getCertificateChain,get certificate chain .the key chain class provides access to private keys and their corresponding certificate chains in credential storage,source,KeyChain,no category
KeyChain_getPrivateKey,get private key .the key chain class provides access to private keys and their corresponding certificate chains in credential storage,source,KeyChain,no category
SearchView_getInputType,"get input type .a widget that provides a user interface for the user to enter a search query and submit a request to a search provider  shows a list of query suggestions or results, if available, and allows the user to pick a suggestion or result to launch into",source,SearchView,no category
DecimalFormat_setParseBigDecimal,"set parse big decimal . icu's replacement for decimal format  methods, fields, and other functionality specific to icu are labeled '[icu]'",sink,DecimalFormat,no category
ImageSwitcher_setImageResource,set image resource .view switcher that switches between two image views when a new image is set on it  the views added to an image switcher must all be image views,sink,ImageSwitcher,no category
DownloadManager_openDownloadedFile,"open downloaded file .the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",sink,DownloadManager,files
DecimalFormat_getRoundingMode,"get rounding mode . icu's replacement for decimal format  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,DecimalFormat,no category
DateFormat_getInstance,"get instance . icu's replacement for date format  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,DateFormat,no category
Inflater_setDictionary,set dictionary .this class provides support for general purpose decompression using the popular zlib compression library  the zlib compression library was initially developed as part of the png graphics standard and is not protected by patents  it is fully described in the specifications at the java util zip package description,sink,Inflater,no category
DatagramSocket_getPort,get port .this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category
WebSettings_getFixedFontFamily,"get fixed font family .manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",source,WebSettings,no category
