key,docs,class,classification,category_map
NumberFormat_format," [icu] formats a big integer . icu's replacement for number format  methods, fields, and other functionality specific to icu are labeled '[icu]'",NumberFormat,source,no category
KeyStore_setCertificateEntry, assigns the given trusted certificate to the given alias .  this class represents a storage facility for cryptographic keys and certificates,KeyStore,sink,no category
AtomicLong_get," returns the current value,  with memory effects as specified by var handle get volatile .  a long value that may be updated atomically   see the var handle specification for descriptions of the properties of atomic accesses  an atomic long is used in applications such as atomically incremented sequence numbers, and cannot be used as a replacement for a long  however, this class does extend number to allow uniform access by tools and utilities that deal with numerically based classes",AtomicLong,source,no category
BreakIterator_getLineInstance," returns a new instance of break iterator that locates legal line-  wrapping positions . icu's replacement for break iterator  methods, fields, and other functionality specific to icu are labeled '[icu]'",BreakIterator,source,no category
WebSettings_setLoadWithOverviewMode," sets whether the web view loads pages in overview mode, that is,  zooms out the content to fit on screen by width .  manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",WebSettings,sink,no category
MulticastSocket_getLoopbackMode," get the setting for local loopback of multicast datagrams .  the multicast datagram socket class is useful for sending and receiving ip multicast packets   a multicast socket is a  datagram socket, with additional capabilities for joining ""groups"" of other multicast hosts on the internet",MulticastSocket,source,no category
SimpleAdapter_getView," get a view that displays the data at the specified position in the data set .  an easy adapter to map static data to views defined in an xml file  you can specify the data backing the list as an array list of maps  each entry in the array list corresponds to one row in the list  the maps contain the data for each row  you also specify an xml file that defines the views used to display the row, and a mapping from keys in the map to specific views  binding data to views occurs in two phases  first, if a simple adapter view binder is available, view binder set view value is invoked  if the returned value is true, binding has occurred  if the returned value is false, the following views are then tried in order",SimpleAdapter,source,no category
WifiP2pManager_requestPeers," request the current list of peers .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",WifiP2pManager,sink,network connection
Toast_getDuration, return the duration .  a toast is a view containing a quick little message for the user   the toast class helps you create and show those,Toast,source,no category
AnimatorSet_getDuration," gets the length of each of the child animations of this animator set .  this class plays a set of animator objects in the specified order  animations can be set up to play together, in sequence, or after a specified delay",AnimatorSet,source,no category
JSONArray_getDouble," returns the value at index if it exists and is a double or can  be coerced to a double .  a dense indexed sequence of values  values may be any mix of json objects, other json arrays, strings, booleans, integers, longs, doubles, null or json object   null  values may not be na ns, infinities, or of any type not listed here",JSONArray,source,no category
Calendar_getActualMinimum," returns the minimum value that this field could have, given the current date . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",Calendar,source,calendar information
Socket_getKeepAlive, tests if keep alive is enabled .  this class implements client sockets   a socket is an endpoint for communication between two machines,Socket,source,no category
PresetReverb_setPreset," enables a preset on the reverb .  a sound generated within a room travels in many directions  the listener first hears the direct sound from the source itself  later, he or she hears discrete echoes caused by sound bouncing off nearby walls, the ceiling and the floor  as sound waves arrive after undergoing more and more reflections, individual reflections become indistinguishable and the listener hears continuous reverberation that decays over time  reverb is vital for modeling a listener's environment  it can be used in music applications to simulate music being played back in various environments, or in games to immerse the listener within the game's environment  the preset reverb class allows an application to configure the global reverb using a reverb preset  this is primarily used for adding some reverb in a music playback context  applications requiring control over a more advanced environmental reverb are advised to use the environmental reverb class",PresetReverb,sink,audio
PropertyValuesHolder_setObjectValues, set the animated values for this object to this set of objects .  this class holds information about a property and the values that that property should take on during an animation  property values holder objects can be used to create animations with value animator or object animator that operate on several different properties in parallel,PropertyValuesHolder,sink,no category
SimpleAdapter_getItemId," get the row id associated with the specified position in the list .  an easy adapter to map static data to views defined in an xml file  you can specify the data backing the list as an array list of maps  each entry in the array list corresponds to one row in the list  the maps contain the data for each row  you also specify an xml file that defines the views used to display the row, and a mapping from keys in the map to specific views  binding data to views occurs in two phases  first, if a simple adapter view binder is available, view binder set view value is invoked  if the returned value is true, binding has occurred  if the returned value is false, the following views are then tried in order",SimpleAdapter,source,no category
DecimalFormat_getCurrency," returns the currency used to display currency amounts . icu's replacement for decimal format  methods, fields, and other functionality specific to icu are labeled '[icu]'",DecimalFormat,source,no category
AccountManager_addOnAccountsUpdatedListener," adds an on accounts update listener to this instance of the account manager .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,sink,user account
Handler_getErrorManager," retrieves the error manager for this handler .  a handler object takes log messages from a logger and exports them   it might for example, write them to a console or write them to a file, or send them to a network logging service, or forward them to an os log, or whatever",Handler,source,no category
Calendar_getTime," returns this calendar's current time . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",Calendar,source,calendar information
Socket_setSendBufferSize, sets the send buffer option to the  specified value for this socket .  this class implements client sockets   a socket is an endpoint for communication between two machines,Socket,sink,no category
AnimatorSet_getChildAnimations," returns the current list of child animator objects controlled by this  animator set .  this class plays a set of animator objects in the specified order  animations can be set up to play together, in sequence, or after a specified delay",AnimatorSet,source,no category
WifiP2pManager_createGroup," create a p2p group with the current device as the group owner .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",WifiP2pManager,sink,network connection
DateFormat_format," formats a time object into a time string . icu's replacement for date format  methods, fields, and other functionality specific to icu are labeled '[icu]'",DateFormat,source,no category
SQLiteDatabase_getAttachedDbs, returns list of full pathnames of all attached databases including the main database  by executing 'pragma database_list' on the database .  exposes methods to manage a s q lite database,SQLiteDatabase,source,database
SmsManager_sendMultipartTextMessage," send a multi-part text based sms .  manages sms operations such as sending data, text, and pdu sms messages  get this object by calling the static method get default  to create an instance of sms manager associated with a specific subscription i d, call get sms manager for subscription id  this is typically used for devices that support multiple active subscriptions at once",SmsManager,sink,text message
Socket_setPerformancePreferences, sets performance preferences for this socket .  this class implements client sockets   a socket is an endpoint for communication between two machines,Socket,sink,no category
HttpURLConnection_getRequestMethod, get the request method .  a url connection with support for http specific features  see  the spec  for details,HttpURLConnection,source,no category
DatagramSocket_getTrafficClass, gets traffic class or type-of-service in the ip datagram  header for packets sent from this datagram socket .  this class represents a socket for sending and receiving datagram packets,DatagramSocket,source,no category
IsoDep_getHistoricalBytes, return the iso- dep historical bytes for nfc a tags .  provides access to iso dep  properties and i/ o operations on a tag,IsoDep,source,nfc information
DecimalFormatSymbols_getPerMill," returns the character used for mille percent sign . icu's replacement for decimal format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'  this class represents the set of symbols  needed by decimal format to format numbers  decimal format creates for itself an instance of decimal format symbols from its locale data   if you need to change any of these symbols, you can get the decimal format symbols object from your decimal format and modify it",DecimalFormatSymbols,source,no category
ValueAnimator_setObjectValues, sets the values to animate between for this animation .  this class provides a simple timing engine for running animations which calculate animated values and set them on target objects,ValueAnimator,sink,no category
JSONArray_getJSONObject," returns the value at index if it exists and is a json object .  a dense indexed sequence of values  values may be any mix of json objects, other json arrays, strings, booleans, integers, longs, doubles, null or json object   null  values may not be na ns, infinities, or of any type not listed here",JSONArray,source,no category
PKIXParameters_getPolicyQualifiersRejected, gets the policy qualifiers rejected flag .  parameters used as input for the pkix cert path validator algorithm,PKIXParameters,source,no category
MediaRecorder_setVideoEncodingBitRate, sets the video encoding bit rate for recording .  used to record audio and video  the recording control is based on a simple state machine ,MediaRecorder,sink,no category
AtomicLong_getAndIncrement," atomically increments the current value,  with memory effects as specified by var handle get and add .  a long value that may be updated atomically   see the var handle specification for descriptions of the properties of atomic accesses  an atomic long is used in applications such as atomically incremented sequence numbers, and cannot be used as a replacement for a long  however, this class does extend number to allow uniform access by tools and utilities that deal with numerically based classes",AtomicLong,source,no category
AudioTrack_setPositionNotificationPeriod," sets the period for the periodic notification event .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",AudioTrack,sink,audio
AudioManager_setParameters, sets a variable number of parameter values to audio hardware .  audio manager provides access to volume and ringer mode control,AudioManager,sink,audio
Adler32_update, updates the checksum with the specified array of bytes .  a class that can be used to compute the adler 32 checksum of a data stream  an adler 32 checksum is almost as reliable as a crc 32 but can be computed much faster,Adler32,sink,no category
FloatBuffer_array, returns the float array that backs this  buffer  .  a float buffer,FloatBuffer,source,no category
UriMatcher_addURI," add a uri to match, and the code to return when this uri is  matched .  utility class to aid in matching u r is in content providers",UriMatcher,sink,no category
Virtualizer_getStrengthSupported," indicates whether setting strength is supported .  an audio virtualizer is a general name for an effect to spatialize audio channels  the exact behavior of this effect is dependent on the number of audio input channels and the types and number of audio output channels of the device  for example, in the case of a stereo input and stereo headphone output, a stereo widening effect is used when this effect is turned on",Virtualizer,source,no category
ClassLoader_getResources," finds all the resources with the given name .  a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",ClassLoader,source,network information
Equalizer_getBand, gets the band that has the most effect on the given frequency .  an equalizer is used to alter the frequency response of a particular music source or of the main output mix,Equalizer,source,no category
Animator_getListeners," gets the set of animator animator listener objects that are currently  listening for events on this animator object .  this is the superclass for classes which provide basic support for animations which can be started, ended, and have animator listeners added to them",Animator,source,no category
AccountManager_peekAuthToken," gets an auth token from the account manager's cache .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,source,user account
WebSettings_getDefaultFontSize," gets the default font size .  manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",WebSettings,source,no category
ViewStub_getLayoutResource," returns the layout resource that will be used by set visibility or  inflate to replace this stubbed view  in its parent by another view .  a view stub is an invisible, zero sized view that can be used to lazily inflate layout resources at runtime  when a view stub is made visible, or when inflate  is invoked, the layout resource is inflated  the view stub then replaces itself in its parent with the inflated view or views  therefore, the view stub exists in the view hierarchy until set visibility or inflate is invoked  the inflated view is added to the view stub's parent with the view stub's layout parameters  similarly, you can define/override the inflate view's id by using the view stub's inflated id property  for instance",ViewStub,source,no category
DownloadManager_query," query the download manager about downloads that have been requested .  the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",DownloadManager,source,no category
BackupAgent_onRestoreFile," handle the data delivered via the given file descriptor during a full restore  operation .  provides the central interface between an application and android's data backup infrastructure   an application that wishes to participate in the backup and restore mechanism will declare a subclass of backup agent, implement the on backup and on restore methods, and provide the name of its backup agent class in its android manifest xml file via the <application> tag's android:backup agent attribute",BackupAgent,sink,files
KeyStore_getCreationDate, returns the creation date of the entry identified by the given alias .  this class represents a storage facility for cryptographic keys and certificates,KeyStore,source,no category
Log_println, low-level logging call .  api for sending log output,Log,sink,log
AudioManager_setStreamVolume, sets the volume index for a particular stream .  audio manager provides access to volume and ringer mode control,AudioManager,sink,audio
Calendar_setTime," sets this calendar's current time with the given date . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",Calendar,sink,no category
ClassLoader_getSystemResource," find a resource of the specified name from the search path used to load  classes .  a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",ClassLoader,source,network information
SearchView_getQuery," returns the query string currently in the text field .  a widget that provides a user interface for the user to enter a search query and submit a request to a search provider  shows a list of query suggestions or results, if available, and allows the user to pick a suggestion or result to launch into",SearchView,source,no category
NfcF_getManufacturer, return the manufacturer bytes from tag discovery .  provides access to nfc f  properties and i/ o operations on a tag,NfcF,source,nfc information
IntBuffer_put, relative put method  .  an int buffer,IntBuffer,sink,no category
Signature_getParameters, returns the parameters used with this signature object .  the signature class is used to provide applications the functionality of a digital signature algorithm  digital signatures are used for authentication and integrity assurance of digital data,Signature,source,no category
WebSettings_getStandardFontFamily," gets the standard font family name .  manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",WebSettings,source,no category
Inflater_getTotalOut, returns the total number of uncompressed bytes output so far .  this class provides support for general purpose decompression using the popular zlib compression library  the zlib compression library was initially developed as part of the png graphics standard and is not protected by patents  it is fully described in the specifications at the java util zip package description,Inflater,source,no category
Array_getFloat," returns the value of the indexed component in the specified  array object, as a float .  the array class provides static methods to dynamically create and access java arrays",Array,source,no category
SQLiteDatabase_rawQueryWithFactory, runs the provided sql and returns a cursor over the result set .  exposes methods to manage a s q lite database,SQLiteDatabase,source,database
FileOutputStream_getFD," returns the file descriptor associated with this stream .  a file output stream is an output stream for writing data to a file or to a file descriptor  whether or not a file is available or may be created depends upon the underlying platform   some platforms, in particular, allow a file to be opened for writing by only one file output stream  at a time   in such situations the constructors in this class will fail if the file involved is already open",FileOutputStream,source,no category
AccountManager_removeAccount," removes an account from the account manager .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,source,user account
Animator_clone," creates and returns a copy of this object .  this is the superclass for classes which provide basic support for animations which can be started, ended, and have animator listeners added to them",Animator,source,no category
TextToSpeech_addSpeech, adds a mapping between a char sequence  and a sound file .  synthesizes speech from text for immediate playback or to create a sound file,TextToSpeech,sink,no category
ExifInterface_setAttribute, set the value of the specified tag .  this is a class for reading and writing exif tags in various image file formats,ExifInterface,sink,no category
LogManager_getLoggerNames, get an enumeration of known logger names .  there is a single global log manager object that is used to maintain a set of shared state about loggers and log services,LogManager,source,no category
WebSettings_setStandardFontFamily," sets the standard font family name .  manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",WebSettings,sink,no category
CharBuffer_array, returns the char array that backs this  buffer  .  a char buffer,CharBuffer,source,no category
DataOutputStream_writeByte, writes out a byte to the underlying output stream as  a 1-byte value .  a data output stream lets an application write primitive java data types to an output stream in a portable way  an application can then use a data input stream to read the data back in,DataOutputStream,sink,no category
WifiP2pManager_requestConnectionInfo," request device connection info .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",WifiP2pManager,sink,network connection
DecimalFormat_setGroupingUsed," grouping: sets whether grouping is to be used when formatting numbers . icu's replacement for decimal format  methods, fields, and other functionality specific to icu are labeled '[icu]'",DecimalFormat,sink,no category
ClassLoader_getParent," returns the parent class loader for delegation .  a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",ClassLoader,source,network information
PrintStream_print," prints an integer .  a print stream adds functionality to another output stream, namely the ability to print representations of various data values conveniently   two other features are provided as well   unlike other output streams, a print stream never throws an i o exception; instead, exceptional situations merely set an internal flag that can be tested via the check error method  optionally, a print stream can be created so as to flush automatically; this means that the flush method is automatically invoked after a byte array is written, one of the println methods is invoked, or a newline character or byte  is written",PrintStream,sink,no category
UiModeManager_enableCarMode," force device into car mode, like it had been placed in the car dock .  this class provides access to the system uimode services   these services allow applications to control ui modes of the device  it provides functionality to disable the car mode and it gives access to the night mode settings",UiModeManager,sink,log
BreakIterator_getCharacterInstance," [icu] returns a new instance of break iterator that locates logical-character  boundaries . icu's replacement for break iterator  methods, fields, and other functionality specific to icu are labeled '[icu]'",BreakIterator,source,no category
DownloadManager_getUriForDownloadedFile," returns the uri of the given downloaded file id, if the file is  downloaded successfully .  the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",DownloadManager,source,files
AttributesImpl_getValue, look up an attribute's value by qualified  name .  default implementation of the attributes interface,AttributesImpl,source,no category
DatagramPacket_setSocketAddress, sets the socket address  of the remote  host to which this datagram is being sent .  this class represents a datagram packet,DatagramPacket,sink,no category
WifiP2pManager_discoverPeers," initiate peer discovery .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",WifiP2pManager,sink,network connection
StrictMode_getThreadPolicy, returns the current thread's policy .  strict mode is a developer tool which detects things you might be doing by accident and brings them to your attention so you can fix them,StrictMode,source,no category
SSLContext_getServerSessionContext," returns the server session context, which represents the set of  ssl sessions available for use during the handshake phase of  server-side ssl sockets .  instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes",SSLContext,source,network information
GregorianCalendar_getActualMinimum," return the minimum value that this field could have, given the current date . icu's replacement for gregorian calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",GregorianCalendar,source,calendar information
WallpaperManager_setWallpaperOffsets," set the display position of the current wallpaper within any larger space, when  that wallpaper is visible behind the given window .  provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",WallpaperManager,sink,no category
NsdManager_resolveService," resolve a discovered service .  the network service discovery manager class provides the api to discover services on a network  as an example, if device a and device b are connected over a wi fi network, a game registered on device a can be discovered by a game on device b  another example use case is an application discovering printers on the network",NsdManager,sink,network connection
DatagramSocket_setReceiveBufferSize, sets the so_rcvbuf option to the specified value for this  datagram socket .  this class represents a socket for sending and receiving datagram packets,DatagramSocket,sink,no category
DateFormat_parse," parses a date/time string . icu's replacement for date format  methods, fields, and other functionality specific to icu are labeled '[icu]'",DateFormat,source,no category
SimpleDateFormat_get2DigitYearStart," returns the beginning date of the 100-year period 2-digit years are interpreted  as being within . icu's replacement for simple date format  methods, fields, and other functionality specific to icu are labeled '[icu]'",SimpleDateFormat,source,no category
Throwable_getMessage, returns the detail message string of this throwable .  this exception is thrown by the access controller to indicate that a requested access  is denied,Throwable,source,no category
AudioTrack_getChannelConfiguration," returns the configured channel position mask .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",AudioTrack,source,no category
NsdManager_registerService," register a service to be discovered by other services .  the network service discovery manager class provides the api to discover services on a network  as an example, if device a and device b are connected over a wi fi network, a game registered on device a can be discovered by a game on device b  another example use case is an application discovering printers on the network",NsdManager,sink,network connection
DatePicker_setMinDate," sets the minimal date supported by this date picker in  milliseconds since january 1, 1970 00:00:00 in  time zone get default time zone .  date picker is a directly subclass of picker  this class is a widget for selecting a date  the date can be selected by a year, month, and day columns  the ""min date"" and ""max date"" from which dates to be selected can be customized   the columns can be customized by attribute ""date picker format"" or set date picker format  r attr max date r attr min date r attr date picker forma",DatePicker,sink,no category
NfcF_getMaxTransceiveLength, return the maximum number of bytes that can be sent with transceive .  provides access to nfc f  properties and i/ o operations on a tag,NfcF,source,nfc information
AlarmManager_set," schedule an alarm .  this class provides access to the system alarm services   these allow you to schedule your application to be run at some point in the future   when an alarm goes off, the intent that had been registered for it is broadcast by the system, automatically starting the target application if it is not already running   registered alarms are retained while the device is asleep , but will be cleared if it is turned off and rebooted",AlarmManager,sink,no category
ColorMatrix_setConcat," set this colormatrix to the concatenation of the two specified  colormatrices, such that the resulting colormatrix has the same effect  as applying mat b and then applying mat a .  4x5 matrix for transforming the color and alpha components of a bitmap  the matrix can be passed as single array, and is treated as follows",ColorMatrix,sink,no category
ValueAnimator_setDuration, sets the length of the animation .  this class provides a simple timing engine for running animations which calculate animated values and set them on target objects,ValueAnimator,sink,no category
NumberFormat_getMinimumFractionDigits," returns the minimum number of digits allowed in the fraction portion of a  number . icu's replacement for number format  methods, fields, and other functionality specific to icu are labeled '[icu]'",NumberFormat,source,no category
ThreadGroup_getParent," returns the parent of this thread group .  a thread group represents a set of threads  in addition, a thread group can also include other thread groups  the thread groups form a tree in which every thread group except the initial thread group has a parent",ThreadGroup,source,no category
ColorMatrix_setScale," set this colormatrix to scale by the specified values .  4x5 matrix for transforming the color and alpha components of a bitmap  the matrix can be passed as single array, and is treated as follows",ColorMatrix,sink,no category
LogPrinter_println, write a line of text to the output .  implementation of a printer that sends its output to the system log,LogPrinter,sink,log
DecimalFormatSymbols_getGroupingSeparator," returns the character used for grouping separator . icu's replacement for decimal format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'  this class represents the set of symbols  needed by decimal format to format numbers  decimal format creates for itself an instance of decimal format symbols from its locale data   if you need to change any of these symbols, you can get the decimal format symbols object from your decimal format and modify it",DecimalFormatSymbols,source,no category
ValueAnimator_getRepeatCount, defines how many times the animation should repeat .  this class provides a simple timing engine for running animations which calculate animated values and set them on target objects,ValueAnimator,source,no category
ZipEntry_getTime, returns the last modification time of the entry .  this class is used to represent a zip file entry,ZipEntry,source,no category
DecimalFormat_getDecimalFormatSymbols," returns a copy of the decimal format symbols used by this formatter . icu's replacement for decimal format  methods, fields, and other functionality specific to icu are labeled '[icu]'",DecimalFormat,source,no category
SQLiteDatabase_setMaximumSize, sets the maximum size the database will grow to .  exposes methods to manage a s q lite database,SQLiteDatabase,sink,no category
ShapeDrawable_getChangingConfigurations," return a mask of the configuration parameters for which this drawable  may change, requiring that it be re-created .  a drawable object that draws primitive shapes  a shape drawable takes a shape object and manages its presence on the screen  if no shape is given, then the shape drawable will default to a rect shape",ShapeDrawable,source,no category
MulticastSocket_getNetworkInterface," get the multicast network interface set .  the multicast datagram socket class is useful for sending and receiving ip multicast packets   a multicast socket is a  datagram socket, with additional capabilities for joining ""groups"" of other multicast hosts on the internet",MulticastSocket,source,no category
DateFormat_getLongDateFormat, returns a date format object that can format the date  in long form  for the context's locale .  utility class for producing strings with formatted date/time,DateFormat,source,no category
ClassLoader_setClassAssertionStatus," sets the desired assertion status for the named top-level class in this  class loader and any nested classes contained therein .  a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",ClassLoader,sink,no category
AccessibilityManager_getEnabledAccessibilityServiceList," returns the accessibility service infos of the enabled accessibility services  for a given feedback type .  system level service that serves as an event dispatch for accessibility events, and provides facilities for querying the accessibility state of the system  accessibility events are generated when something notable happens in the user interface, for example an activity starts, the focus or selection of a view changes etc  parties interested in handling accessibility events implement and register an accessibility service which extends accessibility service",AccessibilityManager,source,no category
Attributes_get," returns the value of the specified attribute name, or null if the  attribute name was not found .  the attributes class maps manifest attribute names to associated string values  valid attribute names are case insensitive, are restricted to the ascii characters in the set [0 9a z a z_ ], and cannot exceed 70 characters in length  attribute values can contain any characters and will be u t f8 encoded when written to the output stream   see the jar file specification for more information about valid attribute names and values",Attributes,source,no category
BackupAgentHelper_onBackup," run the backup process on each of the configured handlers .  a convenient backup agent wrapper class that automatically manages heterogeneous data sets within the backup data, each identified by a unique key prefix   when processing a backup or restore operation, the backup agent helper dispatches to one or more installed backup helper objects, each of which is responsible for a defined subset of the data being processed",BackupAgentHelper,sink,no category
Path_set," replace the contents of this with the contents of src .  the path class encapsulates compound  geometric paths consisting of straight line segments, quadratic curves, and cubic curves  it can be drawn with canvas draw path, either filled or stroked , or it can be used for clipping or to draw text on a path",Path,sink,no category
EditText_setEllipsize, causes words in the text that are longer than the view's width to be ellipsized instead of  broken in the middle .  an editable text view that shows completion suggestions automatically while the user is typing,EditText,sink,no category
WebSettings_getBlockNetworkLoads," gets whether the web view does not load any resources from the network .  manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",WebSettings,source,no category
Field_get," returns the value of the field represented by this field, on  the specified object .  a field provides information about, and dynamic access to, a single field of a class or an interface   the reflected field may be a class  field or an instance field",Field,source,no category
DatePicker_setMaxDate," sets the maximal date supported by this date picker in  milliseconds since january 1, 1970 00:00:00 in  time zone get default time zone .  date picker is a directly subclass of picker  this class is a widget for selecting a date  the date can be selected by a year, month, and day columns  the ""min date"" and ""max date"" from which dates to be selected can be customized   the columns can be customized by attribute ""date picker format"" or set date picker format  r attr max date r attr min date r attr date picker forma",DatePicker,sink,no category
AudioRecord_getNotificationMarkerPosition," returns the notification marker position expressed in frames .  the audio record class manages the audio resources for java applications to record audio from the audio input hardware of the platform  this is achieved by ""pulling""  the data from the audio record object  the application is responsible for polling the audio record object in time using one of the following three methods:  read, read or read  the choice of which method to use will be based on the audio data storage format that is the most convenient for the user of audio record",AudioRecord,source,no category
ExifInterface_getAttributeDouble, returns the double value of the tag that is specified as rational or contains a  double-formatted value .  this is a class for reading and writing exif tags in various image file formats,ExifInterface,source,no category
MediaRecorder_setProfile, uses the settings from a camcorder profile object for recording .  used to record audio and video  the recording control is based on a simple state machine ,MediaRecorder,sink,no category
DecimalFormatSymbols_getPatternSeparator," returns the character used to separate positive and negative subpatterns  in a pattern . icu's replacement for decimal format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'  this class represents the set of symbols  needed by decimal format to format numbers  decimal format creates for itself an instance of decimal format symbols from its locale data   if you need to change any of these symbols, you can get the decimal format symbols object from your decimal format and modify it",DecimalFormatSymbols,source,no category
SearchManager_getSearchablesInGlobalSearch, returns a list of the searchable activities that can be included in global search .  this class provides access to the system search services,SearchManager,source,no category
AccountManager_getAuthToken," gets an auth token of the specified type for a particular account,  optionally raising a notification if the user must enter credentials .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,source,user account
MediaRecorder_setAudioChannels, sets the number of audio channels for recording .  used to record audio and video  the recording control is based on a simple state machine ,MediaRecorder,sink,no category
WallpaperManager_peekDrawable," retrieve the current system wallpaper; if there is no wallpaper set,  a null pointer is returned .  provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",WallpaperManager,source,no category
AssetManager_openFd, open an uncompressed asset by mmapping it and returning an asset file descriptor .  provides access to an application's raw asset files; see resources for the way most applications will want to retrieve their resource data  this class presents a lower level api that allows you to open and read raw files that have been bundled with the application as a simple stream of bytes,AssetManager,sink,no category
ScanResult_writeToParcel, flatten this object in to a parcel .  scan result for bluetooth le scan,ScanResult,sink,network connection
URL_getFile," gets the file name of this url .  class url represents a uniform resource locator, a pointer to a ""resource"" on the world wide web  a resource can be something as simple as a file or a directory, or it can be a reference to a more complicated object, such as a query to a database or to a search engine  more information on the types of urls and their formats can be found at: types of ur",URL,source,no category
SQLiteProgram_bindLong, bind a long value to this statement .  a base class for compiled s q lite programs,SQLiteProgram,sink,no category
SSLContext_getSocketFactory, returns a socket factory object for this  context .  instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,SSLContext,source,network information
