keys,real,docs,classification
DownloadManager_getMimeTypeForDownloadedFile,source," Returns the media type of the given downloaded file id, if the file was  downloaded successfully.",source
StaticLayout_getEllipsizedWidth,source," Return the width to which this Layout is ellipsizing, or  getWidth if it is not doing anything special.",source
AbstractQueuedSynchronizer_toString,source," Returns a string identifying this synchronizer, as well as its state.",source
AudioRecord_getAudioSource,source, Returns the audio recording source.,source
LocalServerSocket_getLocalSocketAddress,source, Obtains the socket's local address,source
DecimalFormatSymbols_getExponentSeparator,source, [icu] Returns the string used to separate the mantissa from the exponent.,source
ResourceCursorAdapter_newDropDownView,neither, Makes a new drop down view to hold the data pointed to by cursor.,source
DrmEvent_getAttribute,source, Retrieves the attribute associated with the specified key.,source
CursorAdapter_newDropDownView,neither, Makes a new drop down view to hold the data pointed to by cursor.,source
Inflater_getAdler,source, Returns the ADLER-32 value of the uncompressed data.,source
ParserAdapter_getContentHandler,source, Return the current content handler.,source
Reader_skip,neither, Skips characters.,source
SecureRandom_getProvider,source, Returns the provider of this SecureRandom object.,source
DateFormat_parse,neither, Parses a date/time string.,source
PresetReverb_getPreset,source, Gets current reverb preset.,source
Validator_getProperty,source, Look up the value of a property.,source
Equalizer_getNumberOfPresets,source, Gets the total number of presets the equalizer supports.,source
DrmRights_getSubscriptionId,source, Retrieves the subscription ID associated with this DrmRights object.,source
DatePickerDialog_getDatePicker,source, Returns the DatePicker contained in this dialog.,source
MulticastSocket_getTimeToLive,source, Get the default time-to-live for multicast packets sent out on  the socket.,source
ClassLoader_getSystemResourceAsStream,source," Open for reading, a resource of the specified name from the search path  used to load classes.",source
URLConnection_getDefaultUseCaches,source, Returns the default value of a URLConnection's  useCaches flag.,source
Cipher_getOutputSize,source," Returns the length in bytes that an output buffer would need to be in  order to hold the result of the next update or  doFinal operation, given the input length  inputLen .",source
ZipEntry_getCompressedSize,source, Returns the size of the compressed entry data.,source
DecimalFormatSymbols_getMinusSign,source, Returns the character used to represent minus sign.,source
KeyStore_getCertificateAlias,source, Returns the  name of the first keystore entry whose certificate  matches the given certificate.,source
RingtonePreference_getShowDefault,source, Returns whether to a show an item for the default sound/ringtone.,source
InterfaceAddress_getBroadcast,source, Returns an InetAddress for the broadcast address  for this InterfaceAddress.,source
SensorManager_getAltitude,source, Computes the Altitude in meters from the atmospheric pressure and the  pressure at sea level.,source
URLConnection_getURL,source, Returns the value of this URLConnection's URL  field.,source
AudioTrack_getPlayState,source, Returns the playback state of the AudioTrack instance.,source
SimpleAdapter_getCount,source, How many items are in the data set represented by this Adapter.,source
AudioTrack_getPlaybackRate,source, Returns the current playback sample rate rate in Hz.,source
SSLContext_getDefault,source, Returns the default SSL context.,source
TrafficStats_getTotalTxBytes,source, Return number of bytes transmitted since device boot.,source
LogRecord_getParameters,source, Get the parameters to the log message.,source
NinePatch_getWidth,source," Returns the intrinsic width, in pixels, of this NinePatch.",source
URLConnection_getHeaderFieldInt,source, Returns the value of the named field parsed as a number.,source
IsoDep_getTimeout,source, Get the current timeout for transceive in milliseconds.,source
ServerSocketFactory_createServerSocket,neither, Returns a server socket bound to the specified port.,source
BulletSpan_getLeadingMargin,source, Returns the amount by which to adjust the leading margin.,source
AnimatorSet_getDuration,source, Gets the length of each of the child animations of this AnimatorSet.,source
BroadcastReceiver_getResultData,source," Retrieve the current result data, as set by the previous receiver.",source
MtpObjectInfo_getImagePixWidth,source, Returns the width of the MTP object in pixels  Will be zero for non-image objects,source
Scroller_getStartY,source, Returns the start Y offset in the scroll.,source
URLConnection_getUseCaches,source, Returns the value of this URLConnection's  useCaches field.,source
NfcA_getAtqa,source, Return the ATQA/SENS_RES bytes from tag discovery.,source
AudioTrack_getState,source, Returns the state of the AudioTrack instance.,source
ScheduledThreadPoolExecutor_getQueue,source, Returns the task queue used by this executor.,source
Equalizer_getNumberOfPresets,source, Gets the total number of presets the equalizer supports.,source
DrmInfoRequest_get,source, Retrieves the value of a given key.,source
BreakIterator_getCharacterInstance,source, [icu] Returns a new instance of BreakIterator that locates logical-character  boundaries.,source
InetAddress_getAllByName,source," Given the name of a host, returns an array of its IP addresses,  based on the configured name service on the system.",source
Socket_getLocalSocketAddress,source, Returns the address of the endpoint this socket is bound to.,source
ComparisonFailure_getMessage,source, Returns the detail message string of this throwable.,source
ZipEntry_getName,source, Returns the name of the entry.,source
BoringLayout_getLineTop,source, Return the vertical position of the top of the specified line  (0…getLineCount).,source
EventObject_getSource,source, The object on which the Event initially occurred.,source
MtpStorageInfo_getFreeSpace,source, Returns the amount of free space in the storage unit in bytes,source
Method_getDefaultValue,source, Returns the default value for the annotation member represented by  this Method instance.,source
AtomicLong_get,neither," Returns the current value,  with memory effects as specified by VarHandle#getVolatile.",source
LayoutTransition_getAnimator,source, Gets the animation used during one of the transition types that may run.,source
RandomAccessFile_getFilePointer,source, Returns the current offset in this file.,source
ResourceBundle_getObject,source, Gets an object for the given key from this resource bundle or one of its parents.,source
GregorianCalendar_getMaximum,source, Returns the maximum value for the given calendar field of this  GregorianCalendar instance.,source
MissingFormatArgumentException_getMessage,source, Returns the detail message string of this throwable.,source
AbstractWindowedCursor_getBlob,source, Returns the value of the requested column as a byte array.,source
Calendar_get,source, Returns the value for a given time field.,source
NetworkInterface_getHardwareAddress,source, Returns the hardware address  of the interface if it  has one and if it can be accessed given the current privileges.,source
RSAPublicKeySpec_getModulus,source, Returns the modulus.,source
IllegalFormatFlagsException_getMessage,source, Returns the detail message string of this throwable.,source
AppWidgetHost_createView,neither, Create the AppWidgetHostView for the given widget.,source
AudioRecord_getChannelConfiguration,source, Returns the configured channel position mask.,source
InterfaceAddress_getBroadcast,source, Returns an InetAddress for the broadcast address  for this InterfaceAddress.,source
BoringLayout_getLineTop,source, Return the vertical position of the top of the specified line  (0…getLineCount).,source
Keyframe_getInterpolator,source, Gets the optional interpolator for this Keyframe.,source
CursorWrapper_getColumnNames,source, Returns a string array holding the names of all of the columns in the  result set in the order in which they were listed in the result.,source
URLConnection_getIfModifiedSince,source, Returns the value of this object's ifModifiedSince field.,source
ClassNotFoundException_getException,source, Returns the exception that was raised if an error occurred while  attempting to load the class.,source
Animation_getStartTime,source, When this animation should start.,source
CursorAdapter_getFilterQueryProvider,source, Returns the query filter provider used for filtering.,source
IsolatedContext_getAndClearBroadcastIntents,source, Returns the list of intents that were broadcast since the last call to this method.,source
ObjectStreamField_getName,source, Get the name of this field.,source
UnmappableCharacterException_getMessage,source, Returns the message.,source
InetSocketAddress_getAddress,source, Gets the InetAddress.,source
UserManager_getUserName,source, Returns the user name of the context user.,source
AbstractQueuedSynchronizer_getFirstQueuedThread,source," Returns the first  thread in the queue, or  null if no threads are currently queued.",source
LocalServerSocket_getFileDescriptor,source, Returns file descriptor or null if not yet open/already closed,source
Resources_getIdentifier,source, Return a resource identifier for the given resource name.,source
Ringtone_getTitle,source, Returns a human-presentable title for ringtone.,source
DownloadManager_getUriForDownloadedFile,source," Returns the Uri of the given downloaded file id, if the file is  downloaded successfully.",source
MergeCursor_getLong,source, Returns the value of the requested column as a long.,source
GpsSatellite_getAzimuth,source, Returns the azimuth of the satellite in degrees.,source
DecimalFormatSymbols_getZeroDigit,source, Returns the character used for zero.,source
SSLSocketFactory_createSocket,neither," Returns a socket layered over an existing socket connected to the named  host, at the given port.",source
Subject_getSubject,source, Get the Subject associated with the provided  AccessControlContext.,source
MediaRouter_getRouteCount,source, Return the number of routes currently known  to this MediaRouter.,source
LocationProvider_getAccuracy,source," Returns the rough accuracy of this provider, one of the ProviderProperties.ACCURACY_*  constants.",source
Preference_getKey,source," Gets the key for this Preference, which is also the key used for storing values into  SharedPreferences or PreferenceDataStore.",source
RSAPrivateCrtKeySpec_getPrimeExponentQ,source, Returns the primeExponentQ.,source
SimpleTimeZone_getOffset,source, Returns the offset of this time zone from UTC at the given  time.,source
AbstractSelector_provider,source, Returns the provider that created this channel.,source
AudioTrack_getMaxVolume,source," Returns the maximum gain value, which is greater than or equal to 1.0.",source
SensorManager_getDefaultSensor,source, Use this method to get the default sensor for a given type.,source
X500Principal_getName,source, Returns a string representation of the X.500 distinguished name  using the specified format.,source
MediaRouter_getSelectedRoute,source, Return the currently selected route for any of the given types,source
MifareUltralight_getType,source, Return the MIFARE Ultralight type of the tag.,source
Preference_getOnPreferenceClickListener,source, Returns the callback to be invoked when this Preference is clicked.,source
AccessibilityManager_getInstalledAccessibilityServiceList,source, Returns the AccessibilityServiceInfos of the installed accessibility services.,source
DatagramSocket_getLocalPort,source, Returns the port number on the local host to which this socket  is bound.,source
Security_getProviders,source," Returns an array containing all installed providers that satisfy the  specified* selection criteria, or null if no such providers have been  installed.",source
Currency_getAvailableCurrencies,source, Returns the set of available currencies.,source
X509EncodedKeySpec_getFormat,source, Returns the name of the encoding format associated with this  key specification.,source
SearchManager_getGlobalSearchActivity,source, Gets the name of the global search activity.,source
DatagramSocket_getChannel,source," Returns the unique DatagramChannel object  associated with this datagram socket, if any.",source
MergeCursor_getBlob,source, Returns the value of the requested column as a byte array.,source
CertPathValidator_getInstance,source, Returns a CertPathValidator object that implements the  specified algorithm.,source
GpsSatellite_getAzimuth,source, Returns the azimuth of the satellite in degrees.,source
BroadcastReceiver_getAbortBroadcast,source, Returns the flag indicating whether or not this receiver should  abort the current broadcast.,source
UUID_getLeastSignificantBits,source, Returns the least significant 64 bits of this UUID's 128 bit value.,source
Animation_getInterpolator,source, Gets the acceleration curve type for this animation.,source
IsoDep_get,source, Get an instance of IsoDep for the given tag.,source
CursorWrapper_getColumnIndexOrThrow,source," Returns the zero-based index for the given column name, or throws  IllegalArgumentException if the column doesn't exist.",source
Equalizer_getBand,source, Gets the band that has the most effect on the given frequency.,source
AccountManager_confirmCredentials,source, Confirms that the user knows the password for an account to make extra  sure they are the owner of the account.,source
URLConnection_getDate,source, Returns the value of the date header field.,source
DropBoxManager_isTagEnabled,source, Checks any blacklists  to see whether a certain  tag is allowed.,source
TypedArray_getColorStateList,source, Retrieve the ColorStateList for the attribute at index.,source
DrmInfoRequest_get,source, Retrieves the value of a given key.,source
WallpaperManager_peekDrawable,source," Retrieve the current system wallpaper; if there is no wallpaper set,  a null pointer is returned.",source
MessageFormat_getFormatsByArgumentIndex,source, Returns the Format objects used for the values passed into  format methods or returned from parse  methods.,source
BreakIterator_getAvailableLocales,source, Returns a list of locales for which BreakIterators can be used.,source
Scroller_getCurrVelocity,source, Returns the current velocity.,source
BroadcastReceiver_getResultData,source," Retrieve the current result data, as set by the previous receiver.",source
WebSettings_getLayoutAlgorithm,source, Gets the current layout algorithm.,source
NumberFormat_getRoundingMode,source, Returns the rounding mode used in this NumberFormat.,source
Socket_getSoTimeout,source, Returns setting for SO_TIMEOUT.,source
SipSession_getPeerProfile,source, Gets the SIP profile that this session is connected to.,source
Thread_getState,source, Returns the state of this thread.,source
JarEntry_getCodeSigners,source," Returns the CodeSigner objects for this entry, or  null if none.",source
IsolatedContext_getSystemService,source, Return the handle to a system-level service by name.,source
EventObject_getSource,source, The object on which the Event initially occurred.,source
AbstractCursor_getPosition,source, Returns the current position of the cursor in the row set.,source
Preference_getShouldDisableView,source, Checks whether this Preference should disable its view when it's action is disabled.,source
Semaphore_getQueueLength,source, Returns an estimate of the number of threads waiting to acquire.,source
SelectableChannel_register,neither," Registers this channel with the given selector, returning a selection  key.",source
MessageDigest_getInstance,source, Returns a MessageDigest object that implements the specified digest  algorithm.,source
CursorWrapper_getType,source, Returns data type of the given column's value.,source
AudioManager_isMicrophoneMute,source, Checks whether the microphone mute is on or off.,source
URI_getRawUserInfo,source, Returns the raw user-information component of this URI.,source
AtomicInteger_getAndDecrement,source," Atomically decrements the current value,  with memory effects as specified by VarHandle#getAndAdd.",source
DecimalFormatSymbols_getInstance,source, Returns a DecimalFormatSymbols instance for the default locale.,source
SecureRandom_getInstance,source, Returns a SecureRandom object that implements the specified  Random Number Generator  algorithm.,source
WebSettings_getAllowContentAccess,source, Gets whether this WebView supports content URL access.,source
MediaStore_getVersion,source, Return an opaque version string describing the MediaStore state.,source
ObjectStreamField_getOffset,source, Offset of field within instance data.,source
SocketFactory_createSocket,neither, Creates a socket and connects it to the specified remote host  at the specified remote port.,source
MissingFormatWidthException_getMessage,source, Returns the detail message string of this throwable.,source
ImageView_getImageAlpha,source, Returns the alpha that will be applied to the drawable of this ImageView.,source
StaticLayout_getLineCount,neither, Return the number of lines of text in this layout.,source
WallpaperManager_getFastDrawable,source," Like getDrawable, but the returned Drawable has a number  of limitations to reduce its overhead as much as possible.",source
IllegalFormatFlagsException_getFlags,source, Returns the set of flags which contains an illegal combination.,source
AbstractSelectableChannel_blockingLock,source, Retrieves the object upon which the configureBlocking and register methods synchronize.,source
Provider_getVersion,source, Returns the version number for this provider.,source
Thread_getName,source, Returns this thread's name.,source
Preference_getIcon,source, Returns the icon of this Preference.,source
MtpDevice_getObjectInfo,source, Retrieves the MtpObjectInfo for an object.,source
SSLContext_getSocketFactory,neither, Returns a SocketFactory object for this  context.,source
KeyManagerFactory_getAlgorithm,source, Returns the algorithm name of this KeyManagerFactory object.,source
FieldPosition_getBeginIndex,source, Retrieves the index of the first character in the requested field.,source
IsoDep_getTimeout,source, Get the current timeout for transceive in milliseconds.,source
MessageDigest_toString,source, Returns a string representation of this message digest object.,source
CharsetEncoder_unmappableCharacterAction,source, Returns this encoder's current action for unmappable-character errors.,source
NetworkInterface_getDisplayName,source, Get the display name of this network interface.,source
BluetoothA2dp_getDevicesMatchingConnectionStates,source," Get a list of devices that match any of the given connection  states.  For apps targeting Build.VERSION_CODES#S or or higher,  this requires the Manifest.permission#BLUETOOTH_CONNECT  permission which can be gained with  Activity.requestPermissions.",source
CharsetDecoder_replacement,source, Returns this decoder's replacement value.,source
TextureView_getSurfaceTextureListener,source, Returns the SurfaceTextureListener currently associated with this  texture view.,source
DrmEvent_getType,source, Retrieves the type of information that is associated with this object.,source
ParsePosition_getIndex,source, Retrieve the current parse position.,source
LocationProvider_getPowerRequirement,source," Returns the power requirement for this provider, one of the ProviderProperties.POWER_USAGE_*  constants.",source
Cipher_doFinal,neither," Encrypts or decrypts data in a single-part operation, or finishes a  multiple-part operation.",source
DecimalFormatSymbols_getInstance,source, Returns a DecimalFormatSymbols instance for the default locale.,source
KeyPair_getPrivate,source, Returns a reference to the private key component of this key pair.,source
CharsetDecoder_malformedInputAction,source, Returns this decoder's current action for malformed-input errors.,source
Toast_getVerticalMargin,neither, Return the vertical margin.,source
WallpaperManager_getWallpaperInfo,source, Returns the information about the wallpaper if the current wallpaper is  a live wallpaper component.,source
Display_getRefreshRate,source, Gets the refresh rate of this display in frames per second.,source
PKIXParameters_getTargetCertConstraints,source, Returns the required constraints on the target certificate.,source
Deflater_getBytesWritten,source, Returns the total number of compressed bytes output so far.,source
DatagramSocket_getSoTimeout,source, Retrieve setting for SO_TIMEOUT.,source
SSLParameters_getWantClientAuth,source, Returns whether client authentication should be requested.,source
CountDownTimer_start,neither, Start the countdown.,source
BoringLayout_getLineCount,source, Return the number of lines of text in this layout.,source
ECFieldF2m_getReductionPolynomial,source, Returns a BigInteger whose i-th bit corresponds to the  i-th coefficient of the reduction polynomial for polynomial  basis or null for normal basis.,source
Animation_computeDurationHint,neither," Compute a hint at how long the entire animation may last, in milliseconds.",source
CursorAdapter_getItemId,source, Get the row id associated with the specified position in the list.,source
MissingResourceException_getClassName,source, Gets parameter passed by constructor.,source
AppWidgetManager_getAppWidgetOptions,source, Get the extras associated with a given widget instance.,source
MtpStorageInfo_getFreeSpace,source, Returns the amount of free space in the storage unit in bytes,source
Socket_getTcpNoDelay,source, Tests if TCP_NODELAY is enabled.,source
SipAudioCall_getLocalProfile,source, Gets the local SIP profile.,source
ServerSocket_getReuseAddress,source, Tests if SO_REUSEADDR is enabled.,source
JarEntry_getCodeSigners,source," Returns the CodeSigner objects for this entry, or  null if none.",source
MtpStorageInfo_getMaxCapacity,source, Returns the maximum storage capacity for the storage unit in bytes,source
CursorAdapter_getFilter,source, Returns a filter that can be used to constrain data with a filtering  pattern.,source
DateFormat_getMediumDateFormat,source, Returns a DateFormat object that can format the date  in medium form  for the context's locale.,source
HttpRetryException_getLocation,source, Returns the value of the Location header field if the  error resulted from redirection.,source
ColorMatrix_getArray,source, Return the array of floats representing this colormatrix.,source
Collator_getInstance,source, Returns the Collator for the current default locale.,source
SparseIntArray_get,source," Gets the int mapped from the specified key, or 0  if no such mapping has been made.",source
DecimalFormatSymbols_getDigit,source, Returns the character used for a digit in a pattern.,source
CharsetEncoder_charset,source, Returns the charset that created this encoder.,source
BluetoothA2dp_getConnectedDevices,source," Get connected devices for this specific profile.  For apps targeting Build.VERSION_CODES#S or or higher,  this requires the Manifest.permission#BLUETOOTH_CONNECT  permission which can be gained with  Activity.requestPermissions.",source
URLConnection_getDoInput,source, Returns the value of this URLConnection's  doInput flag.,source
Inflater_getBytesRead,source, Returns the total number of compressed bytes input so far.,source
ClassLoader_getSystemResource,source, Find a resource of the specified name from the search path used to load  classes.,source
ReentrantLock_getHoldCount,source, Queries the number of holds on this lock by the current thread.,source
LocationManager_getLastKnownLocation,source," Gets the last known location from the given provider, or null if there is no last known  location.",source
JSONArray_put,neither, Appends value to the end of this array.,source
AbstractCursor_getNotificationUri,source," Return the URI at which notifications of changes in this Cursor's data  will be delivered, as previously set by setNotificationUri.",source
SocketFactory_getDefault,source, Returns a copy of the environment's default socket factory.,source
MimeTypeMap_getFileExtensionFromUrl,source, Returns the file extension or an empty string if there is no  extension.,source
NfcB_transceive,sink, Send raw NFC-B commands to the tag and receive the response.,source
ClassLoader_getSystemResourceAsStream,source," Open for reading, a resource of the specified name from the search path  used to load classes.",source
IllegalFormatCodePointException_getMessage,source, Returns the detail message string of this throwable.,source
AccountManager_confirmCredentials,neither, Confirms that the user knows the password for an account to make extra  sure they are the owner of the account.,source
MtpObjectInfo_getFormat,source, Returns the format code for the MTP object,source
WebSettings_getFantasyFontFamily,source, Gets the fantasy font family name.,source
Calendar_getFirstDayOfWeek,neither," Returns what the first day of the week is,  where 1 = SUNDAY and 7 = SATURDAY.",source
ResourceCursorAdapter_newView,neither, Inflates view from the specified XML file.,source
Resources_getColor,source, Returns a themed color integer associated with a particular resource ID.,source
DisplayManager_getDisplay,source, Gets information about a logical display.,source
Mac_doFinal,neither, Processes the given array of bytes and finishes the MAC operation.,source
TrafficStats_getTotalRxPackets,source, Return number of packets received since device boot.,source
ImageView_getCropToPadding,source, Return whether this ImageView crops to padding.,source
URL_getFile,source, Gets the file name of this URL.,source
HandshakeCompletedEvent_getPeerCertificates,source, Returns the identity of the peer which was established as part  of defining the session.,source
DeviceAdminReceiver_getManager,source, Retrieve the DevicePolicyManager interface for this administrator to work  with the system.,source
MifareUltralight_getTag,source, Get the Tag object backing this TagTechnology object.,source
NetworkInterface_getDisplayName,source, Get the display name of this network interface.,source
URLConnection_getFileNameMap,source," Returns a FileNameMap implementation suitable for guessing a  content type based on a URL's ""file"" component.",source
MulticastSocket_getNetworkInterface,source, Get the multicast network interface set.,source
Resources_getColor,source, Returns a themed color integer associated with a particular resource ID.,source
AccountManager_getUserData,source," Gets the user data named by ""key"" associated with the account.",source
Resources_getDimensionPixelOffset,source, Retrieve a dimensional for a particular resource ID for use  as an offset in raw pixels.,source
HandshakeCompletedEvent_getSession,source, Returns the session that triggered this event.,source
WebSettings_getSaveFormData,source, Gets whether the WebView saves form data.,source
DateFormatSymbols_getLocalPatternChars,source, Returns localized date-time pattern characters.,source
Preference_getOnPreferenceClickListener,neither, Returns the callback to be invoked when this Preference is clicked.,source
MemoryFile_getOutputStream,neither, Creates a new OutputStream for writing to the memory file.,source
Time_getWeeksSinceEpochFromJulianDay,neither, Returns the week since EPOCH_JULIAN_DAY  adjusted  for first day of week.,source
ImageView_getBaseline,source, Return the offset of the widget's text baseline from the widget's top  boundary.,source
ZipEntry_getCrc,source, Returns the CRC-32 checksum of the uncompressed entry data.,source
MessageDigest_getProvider,source, Returns the provider of this message digest object.,source
HttpURLConnection_getResponseMessage,source," Gets the HTTP response message, if any, returned along with the  response code from a server.",source
MtpDevice_getStorageInfo,source, Retrieves the MtpStorageInfo for a storage unit.,source
BitmapRegionDecoder_getHeight,source, Returns the original image's height,source
CharsetEncoder_unmappableCharacterAction,source, Returns this encoder's current action for unmappable-character errors.,source
Buffer_mark,neither, Sets this buffer's mark at its position.,source
Security_getAlgorithms,source, Returns a Set of Strings containing the names of all available  algorithms or types for the specified Java cryptographic service  .,source
DigitsKeyListener_getInputType,source, Returns the input type for the listener.,source
JSONArray_getLong,neither, Returns the value at index if it exists and is a long or  can be coerced to a long.,source
BackupDataInputStream_getKey,source, Report the key string associated with this entity within the backup data set.,source
DigitsKeyListener_getInstance,source, Returns a DigitsKeyListener that accepts only the characters  that appear in the specified String.,source
MtpObjectInfo_getName,source, Returns the name of the MTP object,source
ExemptionMechanism_getName,source, Returns the exemption mechanism name of this  ExemptionMechanism object.,source
Array_getFloat,neither," Returns the value of the indexed component in the specified  array object, as a float.",source
BreakIterator_getSentenceInstance,source, Returns a new instance of BreakIterator that locates sentence boundaries.,source
PropertyChangeEvent_getPropertyName,source, Gets the programmatic name of the property that was changed.,source
ExpandableListActivity_getExpandableListView,source, Get the activity's expandable list view widget.,source
Throwable_getLocalizedMessage,source, Creates a localized description of this throwable.,source
ComparisonFailure_getMessage,source, Returns the detail message string of this throwable.,source
IsoDep_getHiLayerResponse,source, Return the higher layer response bytes for NfcB tags.,source
AtomicInteger_getAndAdd,source," Atomically adds the given value to the current value,  with memory effects as specified by VarHandle#getAndAdd.",source
AudioStream_getDtmfType,source," Returns the RTP payload type for dual-tone multi-frequency  digits,  or -1 if it is not enabled.",source
Method_getParameterAnnotations,source," Returns an array of arrays of Annotations that  represent the annotations on the formal parameters, in  declaration order, of the Executable represented by  this object.",source
SSLCertificateSocketFactory_createSocket,neither," Creates a socket and connects it to the specified remote host  at the specified remote port.  By default, this method returns a connected socket and verifies the peer's  certificate hostname after connecting using the HostnameVerifier obtained from  HttpsURLConnection.getDefaultHostnameVerifier; if this instance was created with  getInsecure, it returns a socket that is not connected  instead.",source
DateFormatSymbols_getAvailableLocales,source, Returns an array of all locales for which the getInstance methods of  this class can return localized instances.,source
SecureRandom_generateSeed,source," Returns the given number of seed bytes, computed using the seed  generation algorithm that this class uses to seed itself.",source
CertPathValidator_getInstance,source, Returns a CertPathValidator object that implements the  specified algorithm.,source
NfcV_getResponseFlags,source, Return the Response Flag bytes from tag discovery.,source
Deflater_getTotalOut,source, Returns the total number of compressed bytes output so far.,source
URI_getPort,source, Returns the port number of this URI.,source
AppWidgetManager_getInstance,source, Get the AppWidgetManager instance to use for the supplied Context object.,source
InterfaceAddress_getBroadcast,source, Returns an InetAddress for the broadcast address  for this InterfaceAddress.,source
BreakIterator_getAvailableLocales,source, Returns a list of locales for which BreakIterators can be used.,source
LogManager_getLoggerNames,source, Get an enumeration of known logger names.,source
ScaleGestureDetector_getPreviousSpanY,source, Return the previous average Y distance between each of the pointers forming the  gesture in progress through the focal point.,source
TimedText_getText,source, Get the characters in the timed text.,source
ShapeDrawable_getPaint,source, Returns the Paint used to draw the shape.,source
ImageView_getImageAlpha,source, Returns the alpha that will be applied to the drawable of this ImageView.,source
MessageDigest_getProvider,source, Returns the provider of this message digest object.,source
NetworkInterface_getInterfaceAddresses,source, Get a List of all or a subset of the InterfaceAddresses  of this network interface.,source
Charset_name,source, Returns this charset's canonical name.,source
PBEKeySpec_getPassword,source, Returns a copy of the password.,source
SSLContext_getClientSessionContext,source," Returns the client session context, which represents the set of  SSL sessions available for use during the handshake phase of  client-side SSL sockets.",source
ZipFile_getInputStream,source, Returns an input stream for reading the contents of the specified  zip file entry.,source
CursorAdapter_getFilterQueryProvider,source, Returns the query filter provider used for filtering.,source
SAXParseException_getLineNumber,source, The line number of the end of the text where the exception occurred.,source
MessageDigest_getInstance,source, Returns a MessageDigest object that implements the specified digest  algorithm.,source
Resources_getIntArray,source, Return the int array associated with a particular resource ID.,source
Field_getDeclaringClass,source, Returns the Class object representing the class or interface  that declares the field represented by this Field object.,source
DeviceAdminReceiver_getManager,source, Retrieve the DevicePolicyManager interface for this administrator to work  with the system.,source
BassBoost_getStrengthSupported,source, Indicates whether setting strength is supported.,source
DrmManagerClient_getAvailableDrmEngines,source, Retrieves information about all the DRM plug-ins  that are registered with  the DRM framework.,source
Cipher_getOutputSize,source," Returns the length in bytes that an output buffer would need to be in  order to hold the result of the next update or  doFinal operation, given the input length  inputLen .",source
URLConnection_getRequestProperties,source, Returns an unmodifiable Map of general request  properties for this connection.,source
ECParameterSpec_getOrder,source, Returns the order of the generator.,source
LocationProvider_getPowerRequirement,source," Returns the power requirement for this provider, one of the ProviderProperties.POWER_USAGE_*  constants.",source
SensorManager_getOrientation,source, Computes the device's orientation based on the rotation matrix.,source
AlgorithmParameters_getEncoded,source, Returns the parameters encoded in the specified scheme.,source
Toast_setText,sink,update the text in a Goner that be antecedently created use 1 of the makeText  methods.,sink
AssetManager_openFd,sink,give an uncompressed plus by mmapping it and return an AssetFileDescriptor.,sink
Matrix3f_set,sink,do the value for a give dustup and column,sink
AlarmManager_setTime,sink,seth the system wall clock clock time.,sink
XmlPullParserFactory_setNamespaceAware,sink,specifies that the parser produced by this mill will provide supporting for XML namespaces.,sink
BackupAgent_onRestoreFile,neither, Handle the data delivered via the given file descriptor during a full restore  operation.,sink
Debug_dumpService,sink, Get a debugging dump of a system service by name.,sink
DropBoxManager_addFile,sink," Stores the contents of a file, which may be ignored or discarded as with  addText.",sink
ShapeDrawable_setPadding,neither, Sets padding for the shape.,sink
InstrumentationTestCase_launchActivity,sink,service program method acting for launching an activity.,sink
Inflater_setInput,sink,stage set input data for decompression.,sink
ZoomButtonsController_setZoomOutEnabled,sink, Whether to enable the zoom out control.,sink
ThreadGroup_setMaxPriority,sink,sets the maximal precedence of the group.,sink
InputConnectionWrapper_setSelection,sink, Set the selection of the text editor.,sink
Deflater_setInput,sink,sets input data for compression.,sink
SSLSocket_setSSLParameters,sink, Applies SSLParameters to this socket.,sink
TextToSpeech_setPitch,sink,set the speech sales pitch for the TextToSpeech engine.,sink
InstrumentationTestCase_launchActivityWithIntent,sink, Utility method for launching an activity with a specific Intent.,sink
MediaPlayer_setDataSource,sink, Sets the data source  to use.,sink
AudioManager_setBluetoothScoOn,sink, Request use of Bluetooth SCO headset for communications.,sink
ServerSocket_setReceiveBufferSize,sink, Sets a default proposed value for the  SO_RCVBUF option for sockets  accepted from this ServerSocket.,sink
WebSettings_setMinimumFontSize,sink, Sets the minimum font size.,sink
MediaRecorder_setProfile,sink,habituate the settings from a CamcorderProfile object for recording.,sink
Field_setLong,sink, Sets the value of a field as a long on the specified object.,sink
Matrix2f_set,sink,sets the economic value for a give row and column,sink
FileOutputStream_write,sink, Writes len bytes from the specified byte array  starting at offset off to this file output stream.,sink
MediaMetadataRetriever_setDataSource,sink, Sets the data source  to use.,sink
SearchManager_startSearch,sink,launch hunt UI.,sink
MediaRecorder_setAudioEncodingBitRate,sink, Sets the audio encoding bit rate for recording.,sink
RandomAccessFile_writeFloat,sink,"converts the air bladder debate to an int using the floatToIntBits method in stratum Float, and then indite that int value to the file cabinet as a four - byte amount, high byte first.",sink
SSLCertificateSocketFactory_setNpnProtocols,sink, Sets the  Next  Protocol Negotiation  protocols that this peer is interested in.,sink
RandomAccessFile_writeFloat,sink,"converts the air bladder debate to an int using the floatToIntBits method in stratum Float, and then indite that int value to the file cabinet as a four - byte amount, high byte first.",sink
WebSettings_setSansSerifFontFamily,sink, Sets the sans-serif font family name.,sink
ZoomButtonsController_setZoomOutEnabled,sink,whether to enable the soar out control.,sink
AnimatorSet_setDuration,sink,put the length of each of the current fry animations of this AnimatorSet.,sink
