key,docs,category_map,real_cat
CalendarView_getDate," gets the selected date in milliseconds since january 1, 1970 00:00:00 in  time zone#get default time zone .  this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable",calendar information,calendar information
GregorianCalendar_getMinimum, returns the minimum value for the given calendar field of this  gregorian calendar instance .  gregorian calendar is a concrete subclass of calendar and provides the standard calendar system used by most of the world,calendar information,calendar information
Calendar_getFirstDayOfWeek," returns what the first day of the week is,  where 1 = sunday and 7 = saturday .  [icu enhancement] i c u's replacement for calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",calendar information,calendar information
Calendar_getInstance," returns a calendar using the default time zone and locale .  [icu enhancement] i c u's replacement for calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",calendar information,calendar information
Calendar_getTimeInMillis," returns this calendar's current time as a long .  [icu enhancement] i c u's replacement for calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",calendar information,calendar information
Calendar_getTime," returns this calendar's current time .  [icu enhancement] i c u's replacement for calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",calendar information,calendar information
Calendar_getDisplayNames," returns a map containing all names of the calendar  field in the given style and  locale and their corresponding field values .  the calendar class is an abstract class that provides methods for converting between a specific instant in time and a set of calendar fields such as y e a r, m o n t h, d a y_ o f_ m o n t h, h o u r, and so on, and for manipulating the calendar fields, such as getting the date of the next week  an instant in time can be represented by a millisecond value that is an offset from the epoch, january 1, 1970 00:00:00 000 gmt ",calendar information,calendar information
GregorianCalendar_getActualMinimum," return the minimum value that this field could have, given the current date .  [icu enhancement] i c u's replacement for gregorian calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",calendar information,calendar information
CalendarView_getWeekDayTextAppearance, gets the text appearance for the week day abbreviation of the calendar header .  this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,calendar information,calendar information
Calendar_toString," returns a string representation of this calendar .  [icu enhancement] i c u's replacement for calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",calendar information,calendar information
GregorianCalendar_getGregorianChange," gets the gregorian calendar change date .  [icu enhancement] i c u's replacement for gregorian calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",calendar information,calendar information
Calendar_getTimeZone," returns the time zone .  [icu enhancement] i c u's replacement for calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",calendar information,calendar information
GregorianCalendar_getGreatestMinimum, returns the highest minimum value for the given calendar field  of this gregorian calendar instance .  gregorian calendar is a concrete subclass of calendar and provides the standard calendar system used by most of the world,calendar information,calendar information
Calendar_getActualMinimum," returns the minimum value that this field could have, given the current date .  [icu enhancement] i c u's replacement for calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",calendar information,calendar information
CalendarView_getFirstDayOfWeek, gets the first day of week .  this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,calendar information,calendar information
Calendar_getMinimalDaysInFirstWeek," returns what the minimal days required in the first week of the year are .  [icu enhancement] i c u's replacement for calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",calendar information,calendar information
Calendar_clone," overrides cloneabl .  [icu enhancement] i c u's replacement for calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",calendar information,calendar information
GregorianCalendar_getActualMaximum," return the maximum value that this field could have, given the current date .  [icu enhancement] i c u's replacement for gregorian calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",calendar information,calendar information
Calendar_getDisplayName," returns the name of this calendar in the language of the given locale .  [icu enhancement] i c u's replacement for calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",calendar information,calendar information
Calendar_getActualMaximum," returns the maximum value that this field could have, given the  current date .  [icu enhancement] i c u's replacement for calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",calendar information,calendar information
Calendar_getAvailableLocales," returns the list of locales for which calendars are installed .  [icu enhancement] i c u's replacement for calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",calendar information,calendar information
CalendarView_getMaxDate," gets the maximal date supported by this calendar view in milliseconds  since january 1, 1970 00:00:00 in time zone#get default time  zone .  this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable",calendar information,calendar information
GregorianCalendar_getLeastMaximum, returns the lowest maximum value for the given calendar field  of this gregorian calendar instance .  gregorian calendar is a concrete subclass of calendar and provides the standard calendar system used by most of the world,calendar information,calendar information
Calendar_get," returns the value for a given time field .  [icu enhancement] i c u's replacement for calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",calendar information,calendar information
CalendarView_getMinDate," gets the minimal date supported by this calendar view in milliseconds  since january 1, 1970 00:00:00 in time zone#get default time  zone .  this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable",calendar information,calendar information
GregorianCalendar_getMaximum, returns the maximum value for the given calendar field of this  gregorian calendar instance .  gregorian calendar is a concrete subclass of calendar and provides the standard calendar system used by most of the world,calendar information,calendar information
QuickContactBadge_setMode," this call has no effect anymore, as there is only one quick contact mod .  widget used to show an image with the standard quick contact badge and on click behavior",calendar information,contact information
SQLiteCursor_getColumnIndex," returns the zero-based index for the given column name, or -1 if the column doesn't exist .  a cursor implementation that exposes results from a query on a s q lite database  s q lite cursor is not internally synchronized so code using a s q lite cursor from multiple threads should perform its own synchronization when using the s q lite cursor",database,database
SQLiteCursor_getCount, returns the numbers of rows in the cursor .  a cursor implementation that exposes results from a query on a s q lite database  s q lite cursor is not internally synchronized so code using a s q lite cursor from multiple threads should perform its own synchronization when using the s q lite cursor,database,database
SQLiteDatabase_getVersion, gets the database version .  exposes methods to manage a s q lite database,database,database
SQLiteDatabase_query," query the given u r l, returning a cursor over the result set .  exposes methods to manage a s q lite database",database,database
SQLiteDatabase_rawQuery, runs the provided sql and returns a cursor over the result set .  exposes methods to manage a s q lite database,database,database
SQLiteDatabase_rawQueryWithFactory, runs the provided sql and returns a cursor over the result set .  exposes methods to manage a s q lite database,database,database
SQLiteDatabase_getPageSize," returns the current database page size, in bytes .  exposes methods to manage a s q lite database",database,database
SQLiteDatabase_getPath, gets the path to the database file .  exposes methods to manage a s q lite database,database,database
SQLiteCursor_getDatabase, get the database that this cursor is associated with .  a cursor implementation that exposes results from a query on a s q lite database  s q lite cursor is not internally synchronized so code using a s q lite cursor from multiple threads should perform its own synchronization when using the s q lite cursor,database,database
SQLiteCursor_getColumnNames, returns a string array holding the names of all of the columns in the  result set in the order in which they were listed in the result .  a cursor implementation that exposes results from a query on a s q lite database  s q lite cursor is not internally synchronized so code using a s q lite cursor from multiple threads should perform its own synchronization when using the s q lite cursor,database,database
SQLiteDatabase_getMaximumSize, returns the maximum size the database may grow to .  exposes methods to manage a s q lite database,database,database
SQLiteDatabase_getAttachedDbs, returns list of full pathnames of all attached databases including the main database  by executing 'pragma database_list' on the database .  exposes methods to manage a s q lite database,database,database
SQLiteDatabase_queryWithFactory," query the given u r l, returning a cursor over the result set .  exposes methods to manage a s q lite database",database,database
MediaPlayer_addTimedTextSource, adds an external timed text source file  .  media player class can be used to control playback of audio/video files and streams,files,media
DownloadManager_openDownloadedFile," open a downloaded file for reading .  the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",files,files
MediaMetadataRetriever_setDataSource, sets the data source  to use .  media metadata retriever class provides a unified interface for retrieving frame and meta data from an input media file,files,media
AttributesImpl_getURI, return an attribute's namespace uri .  default implementation of the attributes interface,files,files
Binder_dump," implemented to call the more convenient version  dump .  base class for a remotable object, the core part of a lightweight remote procedure call mechanism defined by i binder  this class is an implementation of i binder that provides standard local implementation of such an object",files,files
Binder_dumpAsync," like dump, but ensures the target  executes asynchronously .  base class for a remotable object, the core part of a lightweight remote procedure call mechanism defined by i binder  this class is an implementation of i binder that provides standard local implementation of such an object",files,files
MediaRecorder_setOutputFile, pass in the file descriptor of the file to be written .  used to record audio and video  the recording control is based on a simple state machine ,files,files
RandomAccessFile_write," writes b length bytes from the specified byte array  to this file, starting at the current file pointer .  instances of this class support both reading and writing to a random access file  a random access file behaves like a large array of bytes stored in the file system  there is a kind of cursor, or index into the implied array, called the file pointer; input operations read bytes starting at the file pointer and advance the file pointer past the bytes read  if the random access file is created in read/write mode, then output operations are also available; output operations write bytes starting at the file pointer and advance the file pointer past the bytes written  output operations that write past the current end of the implied array cause the array to be extended  the file pointer can be read by the get file pointer method and set by the seek method",files,files
FileOutputStream_write," writes b length bytes from the specified byte array  to this file output stream .  a file output stream is an output stream for writing data to a file or to a file descriptor  whether or not a file is available or may be created depends upon the underlying platform   some platforms, in particular, allow a file to be opened for writing by only one file output stream  at a time   in such situations the constructors in this class will fail if the file involved is already open",files,files
Debug_dumpService," get a debugging dump of a system service by name .  provides various debugging methods for android applications, including tracing and allocation counts",files,files
MediaPlayer_setDataSource, sets the data source  to use .  media player class can be used to control playback of audio/video files and streams,files,media
DownloadManager_getUriForDownloadedFile," returns the uri of the given downloaded file id, if the file is  downloaded successfully .  the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",files,files
RandomAccessFile_setLength," sets the length of this file .  instances of this class support both reading and writing to a random access file  a random access file behaves like a large array of bytes stored in the file system  there is a kind of cursor, or index into the implied array, called the file pointer; input operations read bytes starting at the file pointer and advance the file pointer past the bytes read  if the random access file is created in read/write mode, then output operations are also available; output operations write bytes starting at the file pointer and advance the file pointer past the bytes written  output operations that write past the current end of the implied array cause the array to be extended  the file pointer can be read by the get file pointer method and set by the seek method",files,files
Debug_dumpHprofData," dump ""hprof"" data to the specified file .  provides various debugging methods for android applications, including tracing and allocation counts",files,files
DropBoxManager_addFile," stores the contents of a file, which may be ignored or discarded as with  add text .  enqueues chunks of data    the queue is size bounded and will drop old data if the enqueued data exceeds the maximum size   you can think of this as a persistent, system wide, blob oriented ""logcat""",files,files
Debug_startMethodTracing," start method tracing with default log name and buffer size .  provides various debugging methods for android applications, including tracing and allocation counts",files,log
BackupAgent_onRestoreFile," handle the data delivered via the given file descriptor during a full restore  operation .  provides the central interface between an application and android's data backup infrastructure   an application that wishes to participate in the backup and restore mechanism will declare a subclass of backup agent, implement the on backup and on restore methods, and provide the name of its backup agent class in its android manifest xml file via the <application> tag's android:backup agent attribute",files,files
LocationManager_getBestProvider," returns the name of the provider that best meets the given criteria .  this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",geolocation,geolocation
LocationManager_getLastKnownLocation," gets the last known location from the given provider, or null if there is no last known  location .  this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",geolocation,geolocation
LocationManager_setTestProviderLocation," sets a new location for the given test provider .  this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",geolocation,geolocation
LocationManager_addNmeaListener," adds an nmea listener .  this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",geolocation,geolocation
LocationManager_sendExtraCommand," sends additional commands to a location provider .  this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",geolocation,geolocation
LocationManager_setTestProviderEnabled," sets the given test provider to be enabled or disabled .  this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",geolocation,geolocation
LocationManager_getProviders," returns a list of the names of available location providers .  this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",geolocation,geolocation
LocationManager_getAllProviders," returns a list of the names of all available location providers .  this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",geolocation,geolocation
LocationManager_isProviderEnabled," returns the current enabled/disabled status of the given provider .  this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",geolocation,geolocation
SpeechRecognizer_startListening," starts listening for speech .  this class provides access to the speech recognition service  this service allows access to the speech recognizer  do not instantiate this class directly, instead, call speech recognizer#create speech recognizer, or speech recognizer#create on device speech recognizer  this class's methods must be invoked only from the main application thread",log,media
Log_i, send a info log message and log the exception .  a p i for sending log output,log,log
UiModeManager_setNightMode, sets the system-wide night mode .  this class provides access to the system uimode services   these services allow applications to control ui modes of the device  it provides functionality to disable the car mode and it gives access to the night mode settings,log,system settings
WallpaperManager_setBitmap," version of set bitmap that allows the caller  to specify which of the supported wallpaper categories to set .  provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",log,media
AccessibilityManager_sendAccessibilityEvent," sends an accessibility event .  system level service that serves as an event dispatch for accessibility events, and provides facilities for querying the accessibility state of the system  accessibility events are generated when something notable happens in the user interface, for example an activity starts, the focus or selection of a view changes etc  parties interested in handling accessibility events implement and register an accessibility service which extends accessibility service",log,system settings
Log_e, send an error log message .  a p i for sending log output,log,log
NotificationManager_notify, post a notification to be shown in the status bar .  class to notify the user of events that happen   this is how you tell the user that something has happened in the background,log,notification
Log_wtf, what a terrible failure: report a condition that should never happen .  a p i for sending log output,log,log
Log_d, send a debug log message and log the exception .  a p i for sending log output,log,log
MediaPlayer_setSurface, sets the surface to be used as the sink for the video portion of  the media .  media player class can be used to control playback of audio/video files and streams,log,media
UiModeManager_enableCarMode," force device into car mode, like it had been placed in the car dock .  this class provides access to the system uimode services   these services allow applications to control ui modes of the device  it provides functionality to disable the car mode and it gives access to the night mode settings",log,system settings
Log_w, send a warn log message and log the exception .  a p i for sending log output,log,log
WallpaperManager_setResource," version of set resource that allows the caller to specify which  of the supported wallpaper categories to set .  provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",log,media
Log_v, send a verbose log message .  a p i for sending log output,log,log
WallpaperManager_setStream," change the current system wallpaper to a specific byte stream .  provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",log,media
LogPrinter_println, write a line of text to the output .  implementation of a printer that sends its output to the system log,log,log
Log_println, low-level logging call .  a p i for sending log output,log,log
AccessibilityService_performGlobalAction," performs a global action .  accessibility services should only be used to assist users with disabilities in using android devices and apps  they run in the background and receive callbacks by the system when accessibility events are fired  such events denote some state transition in the user interface, for example, the focus has changed, a button has been clicked, etc  such a service can optionally request the capability for querying the content of the active window  development of an accessibility service requires extending this class and implementing its abstract methods",log,system settings
WifiP2pManager_requestPeers," request the current list of peers .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
WifiP2pManager_addLocalService," register a local service for service discovery .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
WifiP2pManager_createGroup," create a p2p group with the current device as the group owner .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
WifiP2pManager_setDnsSdResponseListeners," register a callback to be invoked on receiving bonjour service discovery  response .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
WifiP2pManager_removeLocalService," remove a registered local service added with add local service  the function call immediately returns after sending a request to remove a  local service to the framework .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
ScanResult_writeToParcel, flatten this object in to a parcel .  scan result for bluetooth le scan,network connection,bluetooth
WifiP2pManager_removeServiceRequest," remove a specified service discovery request added with add service request  the function call immediately returns after sending a request to remove service  discovery request to the framework .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
NsdManager_registerService," register a service to be discovered by other services .  the network service discovery manager class provides the api to discover services on a network  as an example, if device a and device b are connected over a wi fi network, a game registered on device a can be discovered by a game on device b  another example use case is an application discovering printers on the network",network connection,network connection
NsdManager_resolveService," resolve a discovered service .  the network service discovery manager class provides the api to discover services on a network  as an example, if device a and device b are connected over a wi fi network, a game registered on device a can be discovered by a game on device b  another example use case is an application discovering printers on the network",network connection,network connection
WifiP2pManager_setServiceResponseListener," register a callback to be invoked on receiving service discovery response .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
WifiP2pManager_discoverPeers," initiate peer discovery .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
TrafficStats_setThreadStatsTag," set active tag to use when accounting socket traffic originating  from the current thread .  class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",network connection,network connection
URL_openConnection," same as open connection, except that the connection will be  made through the specified proxy; protocol handlers that do not  support proxing will ignore the proxy parameter and make a  normal connection .  class url represents a uniform resource locator, a pointer to a ""resource"" on the world wide web  a resource can be something as simple as a file or a directory, or it can be a reference to a more complicated object, such as a query to a database or to a search engine  more information on the types of u r ls and their formats can be found at: types of ur",network connection,network connection
WifiP2pManager_setUpnpServiceResponseListener," register a callback to be invoked on receiving upnp service discovery  response .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
WifiP2pManager_addServiceRequest," add a service discovery request .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
NsdManager_discoverServices," initiate service discovery to browse for instances of a service type .  the network service discovery manager class provides the api to discover services on a network  as an example, if device a and device b are connected over a wi fi network, a game registered on device a can be discovered by a game on device b  another example use case is an application discovering printers on the network",network connection,network connection
WifiP2pManager_cancelConnect," cancel any ongoing p2p group negotiation  the function call immediately returns after sending a connection cancellation request  to the framework .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
WifiP2pManager_connect," start a p2p connection to a device with the specified configuration .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
WifiP2pManager_discoverServices," initiate service discovery .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
WifiP2pManager_removeGroup," remove the current p2p group .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
WifiP2pManager_requestGroupInfo," request p2p group info .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
WifiP2pManager_stopPeerDiscovery," stop an ongoing peer discovery  the function call immediately returns after sending a stop request  to the framework .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
WifiP2pManager_requestConnectionInfo," request device connection info .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network connection,network connection
TrafficStats_getMobileRxBytes," return number of bytes received across mobile networks since device boot .  class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",network information,network connection
SSLContext_getInstance, returns a s s l context object that implements the  specified secure socket protocol .  instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or s s l engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,network information,network connection
TrafficStats_getTotalTxPackets," return number of packets transmitted since device boot .  class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",network information,network connection
SSLParameters_getCipherSuites," returns a copy of the array of ciphersuites or null if none  have been set .  encapsulates parameters for an s s l/ t l s connection  the parameters are the list of ciphersuites to be accepted in an s s l/ t l s handshake, the list of protocols to be allowed, the endpoint identification algorithm during s s l/ t l s handshaking, the server name indication , the algorithm constraints and whether s s l/ t l s servers should request or require client authentication, etc",network information,network connection
TrafficStats_getMobileRxPackets," return number of packets received across mobile networks since device  boot .  class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",network information,network connection
ClassLoader_getSystemResources," finds all resources of the specified name from the search path used to  load classes .  a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",network information,network connection
SSLParameters_getWantClientAuth," returns whether client authentication should be requested .  encapsulates parameters for an s s l/ t l s connection  the parameters are the list of ciphersuites to be accepted in an s s l/ t l s handshake, the list of protocols to be allowed, the endpoint identification algorithm during s s l/ t l s handshaking, the server name indication , the algorithm constraints and whether s s l/ t l s servers should request or require client authentication, etc",network information,network connection
SSLEngine_getPeerHost," returns the host name of the peer .  a class which enables secure communications using protocols such as the secure sockets layer  or  ietf rfc 2246 "" transport layer security""   protocols, but is transport independent",network information,network connection
TrafficStats_getTotalTxBytes," return number of bytes transmitted since device boot .  class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",network information,network connection
AccessibilityService_getRootInActiveWindow," gets the root node in the currently active window if this service  can retrieve window content .  accessibility services should only be used to assist users with disabilities in using android devices and apps  they run in the background and receive callbacks by the system when accessibility events are fired  such events denote some state transition in the user interface, for example, the focus has changed, a button has been clicked, etc  such a service can optionally request the capability for querying the content of the active window  development of an accessibility service requires extending this class and implementing its abstract methods",network information,network connection
WifiP2pManager_initialize," registers the application with the wi- fi framework .  this class provides the api for managing wi fi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",network information,network connection
SSLContext_getSupportedSSLParameters, returns a copy of the s s l parameters indicating the supported  settings for this ssl context .  instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or s s l engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,network information,network connection
ClassLoader_getSystemResource," find a resource of the specified name from the search path used to load  classes .  a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",network information,system settings
SSLEngine_wrap," attempts to encode plaintext bytes from a sequence of data  buffers into s s l/ t l s network data .  a class which enables secure communications using protocols such as the secure sockets layer  or  ietf rfc 2246 "" transport layer security""   protocols, but is transport independent",network information,network connection
SSLParameters_getNeedClientAuth," returns whether client authentication should be required .  encapsulates parameters for an s s l/ t l s connection  the parameters are the list of ciphersuites to be accepted in an s s l/ t l s handshake, the list of protocols to be allowed, the endpoint identification algorithm during s s l/ t l s handshaking, the server name indication , the algorithm constraints and whether s s l/ t l s servers should request or require client authentication, etc",network information,network connection
TrafficStats_getThreadStatsTag," get the active tag used when accounting socket traffic originating  from the current thread .  class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",network information,network connection
TrafficStats_getMobileTxPackets," return number of packets transmitted across mobile networks since device  boot .  class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",network information,network connection
ClassLoader_getResource," finds the resource with the given name .  a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",network information,system settings
ClassLoader_getResources," finds all the resources with the given name .  a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",network information,system settings
SmsManager_divideMessage," divide a message text into several fragments, none bigger than the maximum sms message size .  manages sms operations such as sending data, text, and pdu sms messages  get this object by calling the static method get default  to create an instance of sms manager associated with a specific subscription i d, call get sms manager for subscription id  this is typically used for devices that support multiple active subscriptions at once",network information,text message
TrafficStats_getMobileTxBytes," return number of bytes transmitted across mobile networks since device  boot .  class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",network information,network connection
ClassLoader_loadClass," loads the class with the specified binary name .  a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",network information,system settings
TrafficStats_getTotalRxBytes," return number of bytes received since device boot .  class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",network information,network connection
ClassLoader_getSystemClassLoader," returns the system class loader for delegation .  a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",network information,system settings
TrafficStats_getTotalRxPackets," return number of packets received since device boot .  class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",network information,network connection
ClassLoader_getParent," returns the parent class loader for delegation .  a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",network information,system settings
SSLContext_getSocketFactory, returns a socket factory object for this  context .  instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or s s l engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,network information,network connection
