class,class_description,method_name,args,return,description,has_description,args_string,aosp-gps,library,key
LeaderboardScore,Data interface representing a single score on a leaderboard.,getScoreHolderDisplayName,[''],abstractString,Retrieves the name to display for the player who scored this score.,1,,gps,leaderboard,LeaderboardScore_getScoreHolderDisplayName
LeaderboardScore,Data interface representing a single score on a leaderboard.,getScoreHolderHiResImageUri,[''],abstractUri,Retrieves the URI of the hi-res image to display for the player who scored this score.,1,,gps,leaderboard,LeaderboardScore_getScoreHolderHiResImageUri
LeaderboardScore,Data interface representing a single score on a leaderboard.,getScoreHolderIconImageUri,[''],abstractUri,Retrieves the URI of the icon image to display for the player who scored this score.,1,,gps,leaderboard,LeaderboardScore_getScoreHolderIconImageUri
LeaderboardScore,Data interface representing a single score on a leaderboard.,getScoreTag,[''],abstractString,"Retrieve the optional score tag associated with this score, if any.",1,,gps,leaderboard,LeaderboardScore_getScoreTag
LeaderboardScore,Data interface representing a single score on a leaderboard.,getTimestampMillis,[''],abstract long,Retrieves the timestamp (in milliseconds from epoch,1,,gps,leaderboard,LeaderboardScore_getTimestampMillis
LeaderboardVariant,"Data interface for a specific variant of a leaderboard; a variant is defined by the combination of the leaderboard's collection (public or friends) and time span (daily, weekly, or all-time).",getCollection,[''],abstract int,Retrieves the collection of scores contained by this variant.,1,,gps,leaderboard,LeaderboardVariant_getCollection
LeaderboardVariant,"Data interface for a specific variant of a leaderboard; a variant is defined by the combination of the leaderboard's collection (public or friends) and time span (daily, weekly, or all-time).",getDisplayPlayerRank,[''],abstractString,"Retrieves the viewing player's formatted rank for this variant, if any.",1,,gps,leaderboard,LeaderboardVariant_getDisplayPlayerRank
LeaderboardVariant,"Data interface for a specific variant of a leaderboard; a variant is defined by the combination of the leaderboard's collection (public or friends) and time span (daily, weekly, or all-time).",getDisplayPlayerScore,[''],abstractString,"Retrieves the viewing player's score for this variant, if any.",1,,gps,leaderboard,LeaderboardVariant_getDisplayPlayerScore
LeaderboardVariant,"Data interface for a specific variant of a leaderboard; a variant is defined by the combination of the leaderboard's collection (public or friends) and time span (daily, weekly, or all-time).",getNumScores,[''],abstract long,Retrieves the total number of scores for this variant.,1,,gps,leaderboard,LeaderboardVariant_getNumScores
LeaderboardVariant,"Data interface for a specific variant of a leaderboard; a variant is defined by the combination of the leaderboard's collection (public or friends) and time span (daily, weekly, or all-time).",getPlayerRank,[''],abstract long,"Retrieves the viewing player's rank for this variant, if any.",1,,gps,leaderboard,LeaderboardVariant_getPlayerRank
LeaderboardVariant,"Data interface for a specific variant of a leaderboard; a variant is defined by the combination of the leaderboard's collection (public or friends) and time span (daily, weekly, or all-time).",getPlayerScoreTag,[''],abstractString,"Retrieves the viewing player's score tag for this variant, if any.",1,,gps,leaderboard,LeaderboardVariant_getPlayerScoreTag
LeaderboardVariant,"Data interface for a specific variant of a leaderboard; a variant is defined by the combination of the leaderboard's collection (public or friends) and time span (daily, weekly, or all-time).",getRawPlayerScore,[''],abstract long,"Retrieves the viewing player's score for this variant, if any.",1,,gps,leaderboard,LeaderboardVariant_getRawPlayerScore
LeaderboardVariant,"Data interface for a specific variant of a leaderboard; a variant is defined by the combination of the leaderboard's collection (public or friends) and time span (daily, weekly, or all-time).",getTimeSpan,[''],abstract int,Retrieves the time span that the scores for this variant are drawn from.,1,,gps,leaderboard,LeaderboardVariant_getTimeSpan
LeaderboardVariant,"Data interface for a specific variant of a leaderboard; a variant is defined by the combination of the leaderboard's collection (public or friends) and time span (daily, weekly, or all-time).",hasPlayerInfo,[''],abstract boolean,Get whether or not this variant contains score information for the viewing player or not.,1,,gps,leaderboard,LeaderboardVariant_hasPlayerInfo
ScoreSubmissionData.Result,Simple data class containing the result data for a particular time span.,toString,[''],String,,0,,gps,leaderboard,ScoreSubmissionData.Result_toString
Leaderboards.LeaderboardMetadataResult,This interface is deprecated. LeaderboardBuffer is returned directly in the LeaderboardsClient.,getLeaderboards,[''],abstractLeaderboardBuffer,,0,,gps,leaderboard,Leaderboards.LeaderboardMetadataResult_getLeaderboards
Leaderboards.LoadPlayerScoreResult,This interface is deprecated. LeaderboardScore is returned directly in the LeaderboardsClient.,getScore,[''],abstractLeaderboardScore,,0,,gps,leaderboard,Leaderboards.LoadPlayerScoreResult_getScore
Leaderboards.LoadScoresResult,This interface is deprecated. LeaderboardsClient.LeaderboardScores is returned directly in the LeaderboardsClient.,getLeaderboard,[''],abstractLeaderboard,,0,,gps,leaderboard,Leaderboards.LoadScoresResult_getLeaderboard
Leaderboards.LoadScoresResult,This interface is deprecated. LeaderboardsClient.LeaderboardScores is returned directly in the LeaderboardsClient.,getScores,[''],abstractLeaderboardScoreBuffer,,0,,gps,leaderboard,Leaderboards.LoadScoresResult_getScores
Leaderboards.SubmitScoreResult,This interface is deprecated. ScoreSubmissionData is returned directly in the LeaderboardsClient.,getScoreData,[''],abstractScoreSubmissionData,,0,,gps,leaderboard,Leaderboards.SubmitScoreResult_getScoreData
ChangeEvent,Sent when a DriveResource has had a change to its DriveContents or Metadata.,getDriveId,[''],DriveId,Returns the id of the Drive resource that triggered the event.,1,,gps,events,ChangeEvent_getDriveId
ChangeEvent,Sent when a DriveResource has had a change to its DriveContents or Metadata.,hasBeenDeleted,[''],boolean,Returns true if the resource has been deleted.,1,,gps,events,ChangeEvent_hasBeenDeleted
ChangeEvent,Sent when a DriveResource has had a change to its DriveContents or Metadata.,hasContentChanged,[''],boolean,Returns true if the content has changed for this resource.,1,,gps,events,ChangeEvent_hasContentChanged
ChangeEvent,Sent when a DriveResource has had a change to its DriveContents or Metadata.,hasMetadataChanged,[''],boolean,Returns true if the metadata has changed for this resource.,1,,gps,events,ChangeEvent_hasMetadataChanged
ChangeEvent,Sent when a DriveResource has had a change to its DriveContents or Metadata.,toString,[''],String,,0,,gps,events,ChangeEvent_toString
ChangeEvent,Sent when a DriveResource has had a change to its DriveContents or Metadata.,writeToParcel,"['Parcel', 'int']",void,,0,Parcel_int,gps,events,ChangeEvent_writeToParcel
CompletionEvent,An event delivered after the client requests a completion notification using setNotifyOnCompletion(boolean) and that action has either succeeded or failed on the server.,dismiss,[''],void,Indicates to the Drive API that the caller has finished interacting with this event and any related resources should be cleaned up.,1,,gps,events,CompletionEvent_dismiss
CompletionEvent,An event delivered after the client requests a completion notification using setNotifyOnCompletion(boolean) and that action has either succeeded or failed on the server.,getAccountName,[''],String,"Returns the account name that was used by the GoogleSignInAccount that requested this notification, or null if the default account was used.",1,,gps,events,CompletionEvent_getAccountName
CompletionEvent,An event delivered after the client requests a completion notification using setNotifyOnCompletion(boolean) and that action has either succeeded or failed on the server.,getBaseContentsInputStream,[''],InputStream,"Returns an InputStream for the initial contents of a file, in the case of a notification with status STATUS_CONFLICT.",1,,gps,events,CompletionEvent_getBaseContentsInputStream
CompletionEvent,An event delivered after the client requests a completion notification using setNotifyOnCompletion(boolean) and that action has either succeeded or failed on the server.,getDriveId,[''],DriveId,Returns the id of the Drive resource that triggered the event.,1,,gps,events,CompletionEvent_getDriveId
CompletionEvent,An event delivered after the client requests a completion notification using setNotifyOnCompletion(boolean) and that action has either succeeded or failed on the server.,getModifiedContentsInputStream,[''],InputStream,Returns an InputStream for the modified contents that generated this event.,1,,gps,events,CompletionEvent_getModifiedContentsInputStream
CompletionEvent,An event delivered after the client requests a completion notification using setNotifyOnCompletion(boolean) and that action has either succeeded or failed on the server.,getModifiedMetadataChangeSet,[''],MetadataChangeSet,Returns the MetadataChangeSet that was committed during the update that generated this event.,1,,gps,events,CompletionEvent_getModifiedMetadataChangeSet
CompletionEvent,An event delivered after the client requests a completion notification using setNotifyOnCompletion(boolean) and that action has either succeeded or failed on the server.,getStatus,[''],int,Returns a status indicating the result of the action that generated this event.,1,,gps,events,CompletionEvent_getStatus
CompletionEvent,An event delivered after the client requests a completion notification using setNotifyOnCompletion(boolean) and that action has either succeeded or failed on the server.,getTrackingTags,[''],List<String>,Returns a List of tracking tags provided through setTrackingTag(String,1,,gps,events,CompletionEvent_getTrackingTags
CompletionEvent,An event delivered after the client requests a completion notification using setNotifyOnCompletion(boolean) and that action has either succeeded or failed on the server.,snooze,[''],void,"Indicates that the client could not process the event at the current time, for example because of connectivity issues.",1,,gps,events,CompletionEvent_snooze
CompletionEvent,An event delivered after the client requests a completion notification using setNotifyOnCompletion(boolean) and that action has either succeeded or failed on the server.,toString,[''],String,,0,,gps,events,CompletionEvent_toString
CompletionEvent,An event delivered after the client requests a completion notification using setNotifyOnCompletion(boolean) and that action has either succeeded or failed on the server.,writeToParcel,"['Parcel', 'int']",void,,0,Parcel_int,gps,events,CompletionEvent_writeToParcel
DriveEventService,Abstract base class for a bound service that handles all DriveEvent instances.,onBind,['Intent'],synchronized finalIBinder,,0,Intent,gps,events,DriveEventService_onBind
DriveEventService,Abstract base class for a bound service that handles all DriveEvent instances.,onChange,['ChangeEvent'],void,,0,ChangeEvent,gps,events,DriveEventService_onChange
DriveEventService,Abstract base class for a bound service that handles all DriveEvent instances.,onCompletion,['CompletionEvent'],void,,0,CompletionEvent,gps,events,DriveEventService_onCompletion
DriveEventService,Abstract base class for a bound service that handles all DriveEvent instances.,onDestroy,[''],synchronized void,,0,,gps,events,DriveEventService_onDestroy
DriveEventService,Abstract base class for a bound service that handles all DriveEvent instances.,onUnbind,['Intent'],boolean,,0,Intent,gps,events,DriveEventService_onUnbind
OpenFileCallback,A callback for progress events on an active file contents download.,onContents,['DriveContents'],abstract void,Called when the file is downloaded.,1,DriveContents,gps,events,OpenFileCallback_onContents
OpenFileCallback,A callback for progress events on an active file contents download.,onError,['Exception'],abstract void,Called when there is an error opening the file.,1,Exception,gps,events,OpenFileCallback_onError
OpenFileCallback,A callback for progress events on an active file contents download.,onProgress,"['long', 'long']",abstract void,Called while the file is being downloaded to report download progress.,1,long_long,gps,events,OpenFileCallback_onProgress
ChangeListener,This interface was deprecated. Use OnChangeListener instead.,onChange,['ChangeEvent'],abstract void,,0,ChangeEvent,gps,events,ChangeListener_onChange
CompletionListener,Event listener interface for CompletionEvent.,onCompletion,['CompletionEvent'],abstract void,,0,CompletionEvent,gps,events,CompletionListener_onCompletion
OnChangeListener,Event listener interface that enables handling of ChangeEvent.,onChange,['ChangeEvent'],abstract void,A hook that is called when a new event is available for processing.,1,ChangeEvent,gps,events,OnChangeListener_onChange
ResourceEvent,Base interface for DriveEvent types related to a specific resource.,getDriveId,[''],abstractDriveId,Returns the id of the Drive resource that triggered the event.,1,,gps,events,ResourceEvent_getDriveId
AbstractDataBuffer<T>,Default implementation of DataBuffer.,close,[''],final void,"Releases the data buffer, for use in try-with-resources.",1,,gps,data,AbstractDataBuffer<T>_close
AbstractDataBuffer<T>,Default implementation of DataBuffer.,get,['int'],abstract T,Get the item at the specified position.,1,int,gps,data,AbstractDataBuffer<T>_get
AbstractDataBuffer<T>,Default implementation of DataBuffer.,getCount,[''],int,,0,,gps,data,AbstractDataBuffer<T>_getCount
AbstractDataBuffer<T>,Default implementation of DataBuffer.,isClosed,[''],boolean,deprecated,1,,gps,data,AbstractDataBuffer<T>_isClosed
AbstractDataBuffer<T>,Default implementation of DataBuffer.,iterator,[''],Iterator<T>,,0,,gps,data,AbstractDataBuffer<T>_iterator
AbstractDataBuffer<T>,Default implementation of DataBuffer.,release,[''],void,Releases resources used by the buffer.,1,,gps,data,AbstractDataBuffer<T>_release
AbstractDataBuffer<T>,Default implementation of DataBuffer.,singleRefIterator,[''],Iterator<T>,In order to use this you should correctly override DataBufferRef.setDataRow(int,1,,gps,data,AbstractDataBuffer<T>_singleRefIterator
DataBufferObserverSet,Utility class for managing a set of observers and distributing their notifications.,addObserver,['DataBufferObserver'],void,Register the given observer for receiving change notifications.,1,DataBufferObserver,gps,data,DataBufferObserverSet_addObserver
DataBufferObserverSet,Utility class for managing a set of observers and distributing their notifications.,clear,[''],void,Clears the set of observers.,1,,gps,data,DataBufferObserverSet_clear
DataBufferObserverSet,Utility class for managing a set of observers and distributing their notifications.,hasObservers,[''],boolean,Returns true if this has any registered observers.,1,,gps,data,DataBufferObserverSet_hasObservers
DataBufferObserverSet,Utility class for managing a set of observers and distributing their notifications.,onDataChanged,[''],void,Called when the overall data changes.,1,,gps,data,DataBufferObserverSet_onDataChanged
DataBufferObserverSet,Utility class for managing a set of observers and distributing their notifications.,onDataRangeChanged,"['int', 'int']",void,Called when a range of items changes.,1,int_int,gps,data,DataBufferObserverSet_onDataRangeChanged
DataBufferObserverSet,Utility class for managing a set of observers and distributing their notifications.,onDataRangeInserted,"['int', 'int']",void,Called when a range of items is inserted.,1,int_int,gps,data,DataBufferObserverSet_onDataRangeInserted
DataBufferObserverSet,Utility class for managing a set of observers and distributing their notifications.,onDataRangeMoved,"['int', 'int', 'int']",void,Called when a range of items is moved.,1,int_int_int,gps,data,DataBufferObserverSet_onDataRangeMoved
DataBufferObserverSet,Utility class for managing a set of observers and distributing their notifications.,onDataRangeRemoved,"['int', 'int']",void,Called when a range of items is removed.,1,int_int,gps,data,DataBufferObserverSet_onDataRangeRemoved
DataBufferObserverSet,Utility class for managing a set of observers and distributing their notifications.,removeObserver,['DataBufferObserver'],void,Unregister the given observer from receiving change notifications.,1,DataBufferObserver,gps,data,DataBufferObserverSet_removeObserver
DataBufferUtils,Utilities for working with DataBuffer objects.,freezeAndClose,['DataBuffer<E>'],"static <T, E extendsFreezable<T>>ArrayList<T>",Utility helper method to freeze a DataBuffer into a list of concrete entities.,1,DataBuffer<E>,gps,data,DataBufferUtils_freezeAndClose
DataBufferUtils,Utilities for working with DataBuffer objects.,hasData,['DataBuffer<?>'],static boolean,Utility function to determine whether a data buffer has data or not.,1,DataBuffer<?>,gps,data,DataBufferUtils_hasData
DataBufferUtils,Utilities for working with DataBuffer objects.,hasNextPage,['DataBuffer<?>'],static boolean,"Utility function to get the ""next page"" pagination token from a data buffer.",1,DataBuffer<?>,gps,data,DataBufferUtils_hasNextPage
DataBufferUtils,Utilities for working with DataBuffer objects.,hasPrevPage,['DataBuffer<?>'],static boolean,"Utility function to get the ""prev page"" pagination token from a data buffer.",1,DataBuffer<?>,gps,data,DataBufferUtils_hasPrevPage
FreezableUtils,Utilities for working with Freezable objects.,freeze,['E[]'],"static <T, E extendsFreezable<T>>ArrayList<T>",Utility helper method to freeze an array of freezable entities into a list of concrete entities.,1,E[],gps,data,FreezableUtils_freeze
FreezableUtils,Utilities for working with Freezable objects.,freeze,['ArrayList<E>'],"static <T, E extendsFreezable<T>>ArrayList<T>",Utility helper method to freeze a list of freezable entities into a list of concrete entities.,1,ArrayList<E>,gps,data,FreezableUtils_freeze
FreezableUtils,Utilities for working with Freezable objects.,freezeIterable,['Iterable<E>'],"static <T, E extendsFreezable<T>>ArrayList<T>",Utility helper method to freeze an array of freezable entities into a list of concrete entities.,1,Iterable<E>,gps,data,FreezableUtils_freezeIterable
DataBuffer<T>,Interface for a buffer of typed data.,close,[''],abstract void,"Releases the data buffer, for use in try-with-resources.",1,,gps,data,DataBuffer<T>_close
DataBuffer<T>,Interface for a buffer of typed data.,get,['int'],abstract T,Returns an element on specified position.,1,int,gps,data,DataBuffer<T>_get
DataBuffer<T>,Interface for a buffer of typed data.,getCount,[''],abstract int,,0,,gps,data,DataBuffer<T>_getCount
DataBuffer<T>,Interface for a buffer of typed data.,isClosed,[''],abstract boolean,deprecated,1,,gps,data,DataBuffer<T>_isClosed
DataBuffer<T>,Interface for a buffer of typed data.,iterator,[''],abstractIterator<T>,,0,,gps,data,DataBuffer<T>_iterator
DataBuffer<T>,Interface for a buffer of typed data.,release,[''],void,Releases resources used by the buffer.,1,,gps,data,DataBuffer<T>_release
DataBuffer<T>,Interface for a buffer of typed data.,singleRefIterator,[''],abstractIterator<T>,In order to use this iterator it should be supported by particular DataBuffer.,1,,gps,data,DataBuffer<T>_singleRefIterator
DataBufferObserver,An interface for notifying an observer about changes to a DataBuffer.,onDataChanged,[''],abstract void,Called when the overall data changes.,1,,gps,data,DataBufferObserver_onDataChanged
DataBufferObserver,An interface for notifying an observer about changes to a DataBuffer.,onDataRangeChanged,"['int', 'int']",abstract void,Called when a range of items changes.,1,int_int,gps,data,DataBufferObserver_onDataRangeChanged
DataBufferObserver,An interface for notifying an observer about changes to a DataBuffer.,onDataRangeInserted,"['int', 'int']",abstract void,Called when a range of items is inserted.,1,int_int,gps,data,DataBufferObserver_onDataRangeInserted
DataBufferObserver,An interface for notifying an observer about changes to a DataBuffer.,onDataRangeMoved,"['int', 'int', 'int']",abstract void,Called when a range of items is moved.,1,int_int_int,gps,data,DataBufferObserver_onDataRangeMoved
DataBufferObserver,An interface for notifying an observer about changes to a DataBuffer.,onDataRangeRemoved,"['int', 'int']",abstract void,Called when a range of items is removed.,1,int_int,gps,data,DataBufferObserver_onDataRangeRemoved
DataBufferObserver.Observable,Interface a data buffer can implement to expose the fact that it supports observation.,addObserver,['DataBufferObserver'],abstract void,Register the given observer for receiving change notifications.,1,DataBufferObserver,gps,data,DataBufferObserver.Observable_addObserver
DataBufferObserver.Observable,Interface a data buffer can implement to expose the fact that it supports observation.,removeObserver,['DataBufferObserver'],abstract void,Unregister the given observer from receiving change notifications.,1,DataBufferObserver,gps,data,DataBufferObserver.Observable_removeObserver
Freezable<T>,Interface for data objects that support being frozen into immutable representations.,freeze,[''],abstract T,Freeze a volatile representation into an immutable representation.,1,,gps,data,Freezable<T>_freeze
Freezable<T>,Interface for data objects that support being frozen into immutable representations.,isDataValid,[''],abstract boolean,Check to see if this object is valid for use.,1,,gps,data,Freezable<T>_isDataValid
DataBufferObserver.Observable,Interface a data buffer can implement to expose the fact that it supports observation.,addObserver,['DataBufferObserver'],abstract void,Register the given observer for receiving change notifications.,1,DataBufferObserver,gps,data,DataBufferObserver.Observable_addObserver
DataBufferObserver.Observable,Interface a data buffer can implement to expose the fact that it supports observation.,removeObserver,['DataBufferObserver'],abstract void,Unregister the given observer from receiving change notifications.,1,DataBufferObserver,gps,data,DataBufferObserver.Observable_removeObserver
InstantAppIntentData,Data for resolved instant app Intent.,getIntent,[''],Intent,Retrieve the Activity Intent used to start the instant app.,1,,gps,instantapps,InstantAppIntentData_getIntent
InstantAppIntentData,Data for resolved instant app Intent.,getMatchResult,[''],int,Returns the result for the match attempt of the given URL.,1,,gps,instantapps,InstantAppIntentData_getMatchResult
InstantAppIntentData,Data for resolved instant app Intent.,getPackageName,[''],String,Returns the package name of the instant app if one exists for the URL.,1,,gps,instantapps,InstantAppIntentData_getPackageName
InstantAppIntentData,Data for resolved instant app Intent.,writeToParcel,"['Parcel', 'int']",void,,0,Parcel_int,gps,instantapps,InstantAppIntentData_writeToParcel
InstantApps,Entry point for Instant Apps APIs.,getActivityCompat,['Activity'],staticActivityCompat,Returns a helper for Activity functionality that can be used to retrieve information about running instant apps or installed apps.,1,Activity,gps,instantapps,InstantApps_getActivityCompat
InstantApps,Entry point for Instant Apps APIs.,getInstantAppsClient,['Activity'],staticInstantAppsClient,Creates a new instance of InstantAppsClient for use in an Activity.,1,Activity,gps,instantapps,InstantApps_getInstantAppsClient
InstantApps,Entry point for Instant Apps APIs.,getInstantAppsClient,['Context'],staticInstantAppsClient,Creates a new instance of InstantAppsClient for use in a non-activity Context.,1,Context,gps,instantapps,InstantApps_getInstantAppsClient
InstantApps,Entry point for Instant Apps APIs.,getLauncher,['Context'],staticLauncher,Returns an API for launching instant apps by URL.,1,Context,gps,instantapps,InstantApps_getLauncher
InstantApps,Entry point for Instant Apps APIs.,getPackageManagerCompat,['Context'],staticPackageManagerCompat,Returns a helper for PackageManager functionality that can be used to retrieve information about running instant apps or installed apps.,1,Context,gps,instantapps,InstantApps_getPackageManagerCompat
InstantApps,Entry point for Instant Apps APIs.,showInstallPrompt,"['Activity', 'Intent', 'int', 'String']",static boolean,Shows a dialog that allows the user to install the current instant app.,1,Activity_Intent_int_String,gps,instantapps,InstantApps_showInstallPrompt
InstantAppsClient,Main entry point to APIs for Android instant apps.,areInstantAppsEnabledForDevice,[''],Task<Boolean>,Checks whether this device satisfied all preconditions to run instant apps.,1,,gps,instantapps,InstantAppsClient_areInstantAppsEnabledForDevice
InstantAppsClient,Main entry point to APIs for Android instant apps.,getInstantAppData,[''],Task<ParcelFileDescriptor>,Retrieves a ParcelFileDescriptor to the caller's instant app's data.,1,,gps,instantapps,InstantAppsClient_getInstantAppData
LaunchData,Data for launching an instant app.,getApplicationIcon,[''],Bitmap,Returns the application icon for the instant app.,1,,gps,instantapps,LaunchData_getApplicationIcon
LaunchData,Data for launching an instant app.,getApplicationLabel,[''],String,Returns the label for the instant app.,1,,gps,instantapps,LaunchData_getApplicationLabel
LaunchData,Data for launching an instant app.,getIntent,[''],Intent,Returns the Intent to launch the instant app.,1,,gps,instantapps,LaunchData_getIntent
LaunchData,Data for launching an instant app.,getPackageName,[''],String,Returns the package name of the instant app.,1,,gps,instantapps,LaunchData_getPackageName
LaunchData,Data for launching an instant app.,writeToParcel,"['Parcel', 'int']",void,,0,Parcel_int,gps,instantapps,LaunchData_writeToParcel
ActivityCompat,A helper for accessing features in Activity in a backwards compatible fashion.,getCallingActivity,[''],abstractComponentName,Gets the ComponentName of the activity that launched the intent to start this activity.,1,,gps,instantapps,ActivityCompat_getCallingActivity
ActivityCompat,A helper for accessing features in Activity in a backwards compatible fashion.,getCallingPackage,[''],abstractString,Gets the package name of the app that launched the intent to start this activity.,1,,gps,instantapps,ActivityCompat_getCallingPackage
Launcher,API for launching instant apps.,getInstantAppIntentData,"['String', 'Intent']",abstractInstantAppIntentData,Checks if the given URL can be launched as an instant app on this device.,1,String_Intent,gps,instantapps,Launcher_getInstantAppIntentData
Launcher,API for launching instant apps.,getInstantAppLaunchData,['String'],abstract Task<LaunchData>,Returns LaunchData that can be used to start an instant app.,1,String,gps,instantapps,Launcher_getInstantAppLaunchData
Launcher,API for launching instant apps.,initializeIntentClient,[''],abstract boolean,Initializes the client for getting intents for launching instant apps.,1,,gps,instantapps,Launcher_initializeIntentClient
PackageManagerCompat,A helper for accessing features in PackageManager in a backwards compatible fashion.,getApplicationInfo,"['String', 'int']",abstractApplicationInfo,Retrieve all of the information we know about a particular package/application.,1,String_int,gps,instantapps,PackageManagerCompat_getApplicationInfo
PackageManagerCompat,A helper for accessing features in PackageManager in a backwards compatible fashion.,getApplicationLabel,['ApplicationInfo'],abstractCharSequence,Return the label to use for this application.,1,ApplicationInfo,gps,instantapps,PackageManagerCompat_getApplicationLabel
PackageManagerCompat,A helper for accessing features in PackageManager in a backwards compatible fashion.,getInstallerPackageName,['String'],abstractString,Retrieve the package name of the application that installed a package.,1,String,gps,instantapps,PackageManagerCompat_getInstallerPackageName
PackageManagerCompat,A helper for accessing features in PackageManager in a backwards compatible fashion.,getInstantAppCookie,[''],abstract byte[],Gets the instant application cookie for this app.,1,,gps,instantapps,PackageManagerCompat_getInstantAppCookie
PackageManagerCompat,A helper for accessing features in PackageManager in a backwards compatible fashion.,getInstantAppCookieMaxSize,[''],abstract int,Gets the maximum size in bytes of the cookie data an instant app can store on the device.,1,,gps,instantapps,PackageManagerCompat_getInstantAppCookieMaxSize
PackageManagerCompat,A helper for accessing features in PackageManager in a backwards compatible fashion.,getPackageInfo,"['String', 'int']",abstractPackageInfo,Retrieve overall information about an application package that is installed on the system or a running instant app.,1,String_int,gps,instantapps,PackageManagerCompat_getPackageInfo
PackageManagerCompat,A helper for accessing features in PackageManager in a backwards compatible fashion.,getPackagesForUid,['int'],abstractString[],Retrieve the names of all packages that are associated with a particular user id.,1,int,gps,instantapps,PackageManagerCompat_getPackagesForUid
PackageManagerCompat,A helper for accessing features in PackageManager in a backwards compatible fashion.,isInstantApp,[''],abstract boolean,Returns true if this application is an instant app.,1,,gps,instantapps,PackageManagerCompat_isInstantApp
PackageManagerCompat,A helper for accessing features in PackageManager in a backwards compatible fashion.,isInstantApp,['String'],abstract boolean,Returns true if the provided package is that of a running instant app that has whitelisted the calling application.,1,String,gps,instantapps,PackageManagerCompat_isInstantApp
PackageManagerCompat,A helper for accessing features in PackageManager in a backwards compatible fashion.,setInstantAppCookie,['byte[]'],abstract boolean,Sets the instant application cookie for the calling app.,1,byte[],gps,instantapps,PackageManagerCompat_setInstantAppCookie
CastButtonFactory,A factory class to set up a MenuItem or a MediaRouteButton to be used as a Cast button.,setUpMediaRouteButton,"['Context', 'MediaRouteButton']",static void,Sets up the given MediaRouteButton.,1,Context_MediaRouteButton,gps,framework,CastButtonFactory_setUpMediaRouteButton
CastButtonFactory,A factory class to set up a MenuItem or a MediaRouteButton to be used as a Cast button.,setUpMediaRouteButton,"['Context', 'Menu', 'int']",staticMenuItem,Sets up the MediaRouteActionProvider in menu.,1,Context_Menu_int,gps,framework,CastButtonFactory_setUpMediaRouteButton
CastContext,A singleton class containing global context for the Cast SDK.,addAppVisibilityListener,['AppVisibilityListener'],void,deprecated,1,AppVisibilityListener,gps,framework,CastContext_addAppVisibilityListener
CastContext,A singleton class containing global context for the Cast SDK.,addCastStateListener,['CastStateListener'],void,Adds a CastStateListener to monitor changes of the current CastState.,1,CastStateListener,gps,framework,CastContext_addCastStateListener
CastContext,A singleton class containing global context for the Cast SDK.,getCastOptions,[''],CastOptions,Returns the CastOptions.,1,,gps,framework,CastContext_getCastOptions
CastContext,A singleton class containing global context for the Cast SDK.,getCastReasonCodeForCastStatusCode,['int'],int,Returns the CastReasonCodes for the given CastStatusCodes.,1,int,gps,framework,CastContext_getCastReasonCodeForCastStatusCode
CastContext,A singleton class containing global context for the Cast SDK.,getCastState,[''],int,Returns the current CastState.,1,,gps,framework,CastContext_getCastState
CastContext,A singleton class containing global context for the Cast SDK.,getMediaNotificationManager,[''],MediaNotificationManager,Returns the MediaNotificationManager.,1,,gps,framework,CastContext_getMediaNotificationManager
CastContext,A singleton class containing global context for the Cast SDK.,getMergedSelector,[''],MediaRouteSelector,Returns the merged MediaRouteSelector used for discovering devices and deciding whether to show the MediaRouteButton.,1,,gps,framework,CastContext_getMergedSelector
CastContext,A singleton class containing global context for the Cast SDK.,getPrecacheManager,[''],PrecacheManager,Returns the PrecacheManager.,1,,gps,framework,CastContext_getPrecacheManager
CastContext,A singleton class containing global context for the Cast SDK.,getSessionManager,[''],SessionManager,"Returns the SessionManager, never returns null.",1,,gps,framework,CastContext_getSessionManager
CastContext,A singleton class containing global context for the Cast SDK.,getSharedInstance,['Context'],staticCastContext,Returns a shared instance of CastContext.,1,Context,gps,framework,CastContext_getSharedInstance
CastContext,A singleton class containing global context for the Cast SDK.,getSharedInstance,[''],staticCastContext,Returns the shared instance of CastContext.,1,,gps,framework,CastContext_getSharedInstance
CastContext,A singleton class containing global context for the Cast SDK.,isAppVisible,[''],boolean,deprecated,1,,gps,framework,CastContext_isAppVisible
CastContext,A singleton class containing global context for the Cast SDK.,onDispatchVolumeKeyEventBeforeJellyBean,['KeyEvent'],boolean,"If your application supports SDK versions before JELLY BEAN, you should call this method to delegate the handling of physical volume key events to the SDK so that users can use the physical volume keys to control device volume of the Cast receiver.",1,KeyEvent,gps,framework,CastContext_onDispatchVolumeKeyEventBeforeJellyBean
CastContext,A singleton class containing global context for the Cast SDK.,removeAppVisibilityListener,['AppVisibilityListener'],void,deprecated,1,AppVisibilityListener,gps,framework,CastContext_removeAppVisibilityListener
CastContext,A singleton class containing global context for the Cast SDK.,removeCastStateListener,['CastStateListener'],void,Removes a CastStateListener.,1,CastStateListener,gps,framework,CastContext_removeCastStateListener
CastContext,A singleton class containing global context for the Cast SDK.,setLaunchCredentialsData,['CredentialsData'],void,Sets the credentials data of the current user.,1,CredentialsData,gps,framework,CastContext_setLaunchCredentialsData
CastContext,A singleton class containing global context for the Cast SDK.,setReceiverApplicationId,['String'],void,Sets the receiver application ID.,1,String,gps,framework,CastContext_setReceiverApplicationId
